,price,percentchange,high,open,relvolume,low,watchers,hourchange,sentiment
0,276.2,4.0536,276.5,265.205,1.4833,263.28,441641,7,5.16
1,276.2,4.0536,276.5,265.205,1.4833,263.28,441641,7,5.16
2,276.2,4.0536,276.5,265.205,1.4833,263.28,441646,5,5.72
3,276.2,4.0536,276.5,265.205,1.4833,263.28,441646,5,5.72
4,276.2,4.0536,276.5,265.205,1.4833,263.28,441646,5,5.72
5,276.2,4.0536,276.5,265.205,1.4833,263.28,441646,5,5.72
6,276.2,4.0536,276.5,265.205,1.4833,263.28,441646,5,5.72
7,276.2,4.0536,276.5,265.205,1.4833,263.28,441647,1,5.72
8,276.2,4.0536,276.5,265.205,1.4833,263.28,441647,1,5.72
9,276.2,4.0536,276.5,265.205,1.4833,263.28,441647,1,5.72
10,276.2,4.0536,276.5,265.205,1.4833,263.28,441647,1,5.72
11,276.2,4.0536,276.5,265.205,1.4833,263.28,441647,1,5.72
12,276.2,4.0536,276.5,265.205,1.4833,263.28,441647,1,5.72
13,276.2,4.0536,276.5,265.205,1.4833,263.28,441640,-7,6.03
14,276.2,4.0536,276.5,265.205,1.4833,263.28,441640,-7,6.03
15,276.2,4.0536,276.5,265.205,1.4833,263.28,441640,-7,6.03
16,276.2,4.0536,276.5,265.205,1.4833,263.28,441640,-7,6.03
17,280.42,1.5279,283.33,278.26,1.3683,276.3201,441705,8,3.05
18,280.0,1.3758,283.33,278.26,1.397,276.3201,441705,8,3.05
19,279.343,1.1379,283.33,278.26,1.4155,276.3201,441712,7,2.54
20,278.28,0.7531,283.33,278.26,1.441,276.3201,441712,7,2.54
21,278.13,0.6988,283.33,278.26,1.4621,276.3201,441712,7,2.54
22,277.65,0.525,283.33,278.26,1.4836,276.3201,441712,7,2.54
23,278.13,0.6988,283.33,278.26,1.5164,276.3201,441712,7,2.54
24,278.46,0.8182,283.33,278.26,1.5392,276.3201,441712,7,2.54
25,278.99,1.0101,283.33,278.26,1.5762,276.3201,441723,11,1.96
26,279.11,1.0536,283.33,278.26,1.6009,276.3201,441723,11,1.96
27,277.97,0.6408,283.33,278.26,1.6275,276.3201,441723,11,1.96
28,277.465,0.458,283.33,278.26,1.6626,276.3201,441723,11,1.96
29,279.17,1.0753,283.33,278.26,1.7577,276.3201,441723,11,1.96
30,279.17,1.0753,283.33,278.26,1.7577,276.3201,441723,11,1.96
31,279.17,1.0753,283.33,278.26,1.7577,276.3201,441729,6,0.25
32,279.17,1.0753,283.33,278.26,1.7577,276.3201,441729,6,0.25
33,279.43,1.1694,283.33,278.26,1.7577,276.3201,441729,6,0.25
34,279.43,1.1694,283.33,278.26,1.7577,276.3201,441729,6,0.25
35,279.43,1.1694,283.33,278.26,1.7577,276.3201,441729,6,0.25
36,279.43,1.1694,283.33,278.26,1.7577,276.3201,441729,6,0.25
37,279.43,1.1694,283.33,278.26,1.7577,276.3201,441729,6,0.25
38,279.43,1.1694,283.33,278.26,1.7577,276.3201,441736,7,-1.31
39,279.43,1.1694,283.33,278.26,1.7577,276.3201,441736,7,-1.31
40,279.43,1.1694,283.33,278.26,1.7577,276.3201,441736,7,-1.31
41,279.43,1.1694,283.33,278.26,1.7577,276.3201,441736,7,-1.31
42,279.43,1.1694,283.33,278.26,1.7577,276.3201,441736,7,-1.31
43,279.43,1.1694,283.33,278.26,1.7577,276.3201,441744,8,-1.31
44,279.43,1.1694,283.33,278.26,1.7577,276.3201,441744,8,-1.31
45,279.43,1.1694,283.33,278.26,1.7577,276.3201,441744,8,-1.31
46,279.43,1.1694,283.33,278.26,1.7577,276.3201,441744,8,-1.31
47,279.43,1.1694,283.33,278.26,1.7577,276.3201,441744,8,-1.31
48,279.43,1.1694,283.33,278.26,1.7577,276.3201,441744,8,-1.31
49,279.43,1.1694,283.33,278.26,1.7577,276.3201,441744,0,-1.37
50,279.43,1.1694,283.33,278.26,1.7577,276.3201,441744,0,-1.37
51,279.43,1.1694,283.33,278.26,1.7577,276.3201,441744,0,-1.37
52,279.43,1.1694,283.33,278.26,1.7577,276.3201,441744,0,-1.37
53,279.43,1.1694,283.33,278.26,1.7577,276.3201,441744,0,-1.37
54,279.43,1.1694,283.33,278.26,1.7577,276.3201,441744,0,-1.37
55,279.43,1.1694,283.33,278.26,1.7577,276.3201,441748,4,-1.58
56,279.43,1.1694,283.33,278.26,1.7577,276.3201,441748,4,-1.58
57,279.43,1.1694,283.33,278.26,1.7577,276.3201,441748,4,-1.58
58,279.43,1.1694,283.33,278.26,1.7577,276.3201,441748,4,-1.58
59,279.43,1.1694,283.33,278.26,1.7577,276.3201,441748,4,-1.58
60,279.43,1.1694,283.33,278.26,1.7577,276.3201,441748,4,-1.58
61,279.43,1.1694,283.33,278.26,1.7577,276.3201,441751,3,-1.53
62,279.43,1.1694,283.33,278.26,1.7577,276.3201,441751,3,-1.53
63,279.43,1.1694,283.33,278.26,1.7577,276.3201,441751,3,-1.53
64,279.43,1.1694,283.33,278.26,1.7577,276.3201,441751,3,-1.53
65,279.43,1.1694,283.33,278.26,1.7577,276.3201,441751,3,-1.53
66,279.43,1.1694,283.33,278.26,1.7577,276.3201,441751,3,-1.53
67,279.43,1.1694,283.33,278.26,1.7577,276.3201,441749,-2,-1.45
68,279.43,1.1694,283.33,278.26,1.7577,276.3201,441749,-2,-1.45
69,279.43,1.1694,283.33,278.26,1.7577,276.3201,441749,-2,-1.45
70,279.43,1.1694,283.33,278.26,1.7577,276.3201,441749,-2,-1.45
71,271.4276,-2.8638,277.48,276.98,0.8882,269.85,441914,0,0.31
72,271.03,-3.0061,277.48,276.98,0.9064,269.85,441914,0,0.31
73,271.1868,-2.95,277.48,276.98,0.9245,269.85,441926,12,0.03
74,271.11,-2.9775,277.48,276.98,0.9809,269.85,441926,12,0.03
75,270.46,-3.2101,277.48,276.98,1.0031,269.85,441926,12,0.03
76,270.59,-3.1636,277.48,276.98,1.0191,269.85,441926,12,0.03
77,270.86,-3.067,277.48,276.98,1.019,269.85,441926,12,0.03
78,270.88,-3.0598,277.48,276.98,1.0364,269.85,441926,12,0.03
79,270.9,-3.0526,277.48,276.98,1.055,269.85,441930,4,-0.03
80,270.65,-3.1421,277.48,276.98,1.0888,269.85,441930,4,-0.03
81,270.775,-3.0974,277.48,276.98,1.1134,269.85,441930,4,-0.03
82,271.46,-2.8522,277.48,276.98,1.1441,269.85,441930,4,-0.03
83,271.95,-2.6769,277.48,276.98,1.2161,269.85,441930,4,-0.03
84,271.95,-2.6769,277.48,276.98,1.2161,269.85,441930,4,-0.03
85,271.95,-2.6769,277.48,276.98,1.2161,269.85,441936,6,-0.02
86,271.95,-2.6769,277.48,276.98,1.2161,269.85,441936,6,-0.02
87,272.23,-2.5767,277.48,276.98,1.2161,269.85,441936,6,-0.02
