timestamp,price,open,lastClose,dayHigh,dayLow,yearLow,yearHigh,50avg,200avg,targetLow,targetMean,targetHigh,forecastNowAvg,forecastNowGrowth,forecastFutureAvg,forecastFutureGrowth,forecastFutureYrAvg,forecastFutureYrGrowth,positiveScore,negativeScore,neutralScore
2023-02-03 10:43:22,263.0520935058594,259.5419921875,264.6000061035156,264.20001220703125,259.0199890136719,213.42999267578125,315.95001220703125,242.81679992675785,254.29909942626952,212.0,283.73,411.0,2.23,0.005,2.47,2.47,9.34,9.34,0.10856729131175498,0.07562606473594546,0.8158289608177187
2023-02-03 11:01:04,261.8550109863281,259.5419921875,264.6000061035156,264.20001220703125,259.0199890136719,213.42999267578125,315.95001220703125,242.81679992675785,254.29909942626952,212.0,283.73,411.0,2.23,0.005,2.47,2.47,9.34,9.34,0.10856729131175498,0.07562606473594546,0.8158289608177187
2023-02-03 12:00:02,261.3999938964844,259.5419921875,264.6000061035156,264.20001220703125,259.0199890136719,213.42999267578125,315.95001220703125,242.81679992675785,254.29909942626952,212.0,283.73,411.0,2.23,0.005,2.47,2.47,9.34,9.34,0.10686381260096957,0.07457382875605814,0.8185862681744761
2023-02-03 12:30:02,262.3800048828125,259.5419921875,264.6000061035156,264.20001220703125,259.0199890136719,213.42999267578125,315.95001220703125,242.81679992675785,254.29909942626952,212.0,283.73,411.0,2.23,0.005,2.47,2.47,9.34,9.34,0.10800659025787994,0.07495830945558733,0.8170607449856762
2023-02-03 13:00:02,260.2301025390625,259.5419921875,264.6000061035156,264.20001220703125,259.0199890136719,213.42999267578125,315.95001220703125,242.81679992675785,254.29909942626952,212.0,283.73,411.0,2.23,0.005,2.47,2.47,9.34,9.34,0.10800659025787994,0.07495830945558733,0.8170607449856762
2023-02-03 13:30:01,258.82000732421875,259.5419921875,264.6000061035156,264.20001220703125,258.75,213.42999267578125,315.95001220703125,242.81679992675785,254.29909942626952,212.0,283.73,411.0,2.23,0.005,2.47,2.47,9.34,9.34,0.10805824345146413,0.07449137134052386,0.8174767334360573
2023-02-03 14:00:02,258.6321105957031,259.5419921875,264.6000061035156,264.20001220703125,258.19000244140625,213.42999267578125,315.95001220703125,242.81679992675785,254.29909942626952,212.0,283.73,411.0,2.23,0.005,2.47,2.47,9.34,9.34,0.10751124620060806,0.07408206686930094,0.818430699088148
2023-02-03 14:30:01,257.92999267578125,259.5419921875,264.6000061035156,264.20001220703125,257.79998779296875,213.42999267578125,315.95001220703125,242.81679992675785,254.29909942626952,212.0,283.73,411.0,2.23,0.005,2.47,2.47,9.34,9.34,0.10751124620060812,0.07408206686930092,0.8184306990881486
2023-02-03 15:00:02,257.4800109863281,259.5419921875,264.6000061035156,264.20001220703125,257.45001220703125,213.42999267578125,315.95001220703125,242.81679992675785,254.29909942626952,212.0,283.73,411.0,2.23,0.005,2.47,2.47,9.34,9.34,0.10824906250000026,0.07444171874999991,0.817332343750002
2023-02-03 15:30:01,258.3599853515625,259.5419921875,264.6000061035156,264.20001220703125,257.1000061035156,213.42999267578125,315.95001220703125,242.81679992675785,254.29909942626952,212.0,283.73,411.0,2.23,0.005,2.47,2.47,9.34,9.34,0.10824906250000026,0.07444171874999991,0.817332343750002
