,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2024-06-07,1197.7,1216.9171,1180.22,1208.88,1208.88,41238580,0.0000,1.0
2024-06-06,1240.48,1255.87,1183.2,1209.98,1209.98,66469619,0.0000,1.0
2024-06-05,1183.71,1224.495,1174.68,1224.4,1224.4,52840178,0.0000,1.0
2024-06-04,1157.16,1166.0,1140.45,1164.37,1164.37,40332401,0.0000,1.0
2024-06-03,1136.21,1150.0,1120.03,1150.0,1150.0,43839176,0.0000,1.0
2024-05-31,1125.2,1127.17,1069.4,1096.33,1096.33,61326250,0.0000,1.0
2024-05-30,1146.5,1158.1915,1096.63,1105.0,1105.0,48735033,0.0000,1.0
2024-05-29,1130.5,1154.92,1109.01,1148.25,1148.25,55744193,0.0400,1.0
2024-05-28,1102.44,1149.39,1098.83,1139.01,1138.97032326329,65272789,0.0000,1.0
2024-05-24,1044.49,1064.75,1030.0,1064.69,1064.65291215634,42949367,0.0000,1.0
2024-05-23,1020.28,1063.2,1015.2,1037.99,1037.95384223498,83506528,0.0000,1.0
2024-05-22,954.59,960.2,932.49,949.5,949.466924731557,54864799,0.0000,1.0
2024-05-21,935.99,954.0,931.8,953.86,953.826772853547,32894646,0.0000,1.0
2024-05-20,937.5,952.0,934.4,947.8,947.766983950047,31876446,0.0000,1.0
2024-05-17,943.69,947.4,918.06,924.79,924.757785489728,35969103,0.0000,1.0
2024-05-16,949.1,958.1899,941.03,943.59,943.557130602897,32395182,0.0000,1.0
2024-05-15,924.72,948.62,915.99,946.3,946.267036201656,41773545,0.0000,1.0
2024-05-14,895.99,916.51,889.34,913.56,913.528176680107,29650708,0.0000,1.0
2024-05-13,904.78,909.98,885.29,903.99,903.958510045372,28968017,0.0000,1.0
2024-05-10,903.045,914.01,892.27,898.78,898.748691532627,33532541,0.0000,1.0
2024-05-09,905.29,910.72,882.31,887.47,887.439085509758,37801268,0.0000,1.0
2024-05-08,894.825,911.94,894.2,904.12,904.088505516899,32572102,0.0000,1.0
2024-05-07,910.98,917.8099,890.11,905.54,905.508456052043,43734161,0.0000,1.0
2024-05-06,893.9,922.2,890.55,921.4,921.367903578364,37620255,0.0000,1.0
2024-05-03,877.89,892.81,870.4,887.89,887.859070879308,39834072,0.0000,1.0
2024-05-02,844.49,862.37,832.0,858.17,858.140106157852,37789754,0.0000,1.0
2024-05-01,850.77,860.0,812.5456,830.41,830.381073160961,55986317,0.0000,1.0
2024-04-30,872.4,888.19,863.0,864.02,863.989902376577,36370870,0.0000,1.0
2024-04-29,875.95,879.92,852.66,877.57,877.539430370377,38897076,0.0000,1.0
2024-04-26,838.18,883.3093,833.87,877.35,877.319438033946,55101078,0.0000,1.0
2024-04-25,788.6801,833.2299,782.23,826.32,826.291215633681,42464073,0.0000,1.0
2024-04-24,839.5,840.82,791.83,796.77,796.742244990377,51220753,0.0000,1.0
2024-04-23,807.69,827.69,802.64,824.23,824.20128843759,43855937,0.0000,1.0
2024-04-22,781.04,800.73,764.0,795.18,795.152300377082,59634051,0.0000,1.0
2024-04-19,831.5,843.24,756.06,762.0,761.973456182672,87519800,0.0000,1.0
2024-04-18,849.7,861.8999,824.02,846.71,846.680505360144,44726034,0.0000,1.0
2024-04-17,883.4,887.75,839.5,840.35,840.320726906966,49539951,0.0000,1.0
2024-04-16,864.325,881.18,860.639,874.15,874.119549504045,37045302,0.0000,1.0
2024-04-15,890.98,906.13,859.2901,860.01,859.980042062545,44307695,0.0000,1.0
2024-04-12,896.99,901.7499,875.3,881.86,881.829280930775,42680479,0.0000,1.0
2024-04-11,874.2,907.3899,869.26,906.16,906.128434454711,43163727,0.0000,1.0
2024-04-10,839.26,874.0,837.09,870.39,870.359680481411,43192853,0.0000,1.0
2024-04-09,874.42,876.35,830.22,853.54,853.510267441152,49977974,0.0000,1.0
2024-04-08,887.0,888.3,867.32,871.33,871.29964773707,27907532,0.0000,1.0
2024-04-05,868.66,884.81,859.26,880.08,880.049342936018,39772878,0.0000,1.0
2024-04-04,904.06,906.3399,858.8,859.05,859.020075503575,42886990,0.0000,1.0
2024-04-03,884.84,903.74,884.0,889.64,889.609009919097,36759126,0.0000,1.0
2024-04-02,884.48,900.94,876.2,894.52,894.488839927196,43137935,0.0000,1.0
2024-04-01,902.99,922.25,892.04,903.63,903.598522585758,44811733,0.0000,1.0
2024-03-28,900.0,913.0,891.93,903.56,903.528525024166,43521227,0.0000,1.0
