relvolume,percentchange,low,high,symbol,open,price,watchers,hourchange,sentiment
0.4521,0.0478,124.74,126.25,EA,125.13,125.68,20704,0,-10.0
0.6091,-0.7591,160.51,162.36,AAPL,162.35,160.8,877606,-1,-3.47
0.6665,1.2357,185.65,189.19,TSLA,186.69,186.79,891155,8,0.19
0.8239,-2.2022,99.01,100.99,AMZN,100.8,99.92,588190,3,-4.46
0.6398,0.4926,127.54,128.94,JPM,128.3,128.52,82602,0,0.89
0.7987,4.8335,9.6,10.85,CVNA,9.79,9.76,23338,1,12.12
0.5013,-1.7354,467.525,476.12,NOC,476.12,468.27,8038,0,13.33
0.7591,-2.2668,281.64,285.87,MSFT,285.75,282.83,443238,2,-2.79
0.9069,3.626,5.25,5.63,AMC,5.45,5.43,413177,4,3.54
0.3554,0.5516,193.14,199.04,ENPH,195.9,196.88,37408,1,-0.55
0.7947,-1.5186,92.7,96.065,AMD,96.06,94.03,456726,2,2.96
0.583,-1.0241,104.68,106.73,GOOGL,106.55,105.35,160325,-1,-0.71
0.4705,-0.5228,32.32,33.11,INTC,32.66,32.35,131227,2,-10.69
0.4743,-0.4655,130.18,131.105,IBM,130.58,130.42,51367,0,0.0
0.5067,0.4519,88.83,89.49,SONY,89.24,88.91,2089,0,0.0
0.662,1.0152,5.86,6.02,SOFI,5.91,5.97,91921,1,3.28
0.5674,-1.4866,271.26,277.89,NVDA,277.235,271.69,421378,0,1.68
0.4677,-0.4191,213.43,216.02,META,215.48,213.85,512737,2,-2.5
