low,percentchange,relvolume,symbol,price,high,open,watchers,hourchange,sentiment
176.11,-0.2972,0.8207,TSLA,184.51,185.0994,179.94,891035,-1,-0.31
32.2,-0.8839,0.4854,INTC,32.52,32.76,32.6,131212,-4,-1.04
129.24,0.4061,0.3796,IBM,131.03,131.08,129.83,51366,-1,-1.68
8.63,3.3296,0.3262,CVNA,9.31,9.35,9.0,23318,-1,1.53
123.74,0.3675,0.3892,EA,125.62,125.8,124.79,20703,-1,8.08
284.72,-0.7579,0.6369,MSFT,289.39,289.6,289.208,443161,5,-1.38
99.57,0.1078,0.5167,AMZN,102.17,102.2,100.96,588082,-4,-0.37
4.74,6.9388,1.2692,AMC,5.24,5.37,4.77,413140,1,0.63
471.57,1.3074,0.4565,NOC,476.54,478.12,470.98,8041,0,-16.67
188.51,2.5131,0.4136,ENPH,195.8,195.9,189.09,37403,-2,-2.06
266.69,2.0047,0.7128,NVDA,275.79,276.2099,268.23,421304,3,2.31
5.66,2.7826,0.5343,SOFI,5.91,5.92,5.69,91906,2,0.76
91.02,3.2551,0.7903,AMD,95.48,95.79,91.32,456694,2,8.46
126.22,0.3295,0.5624,JPM,127.89,128.22,126.54,82587,-1,-2.49
210.66,-0.6247,0.4571,META,214.75,215.66,214.71,512686,-1,-0.53
160.08,-1.5972,0.6369,AAPL,162.03,162.03,161.42,877520,1,-2.87
87.73,0.3856,0.4657,SONY,88.51,88.52,87.76,2087,0,0.0
105.12,-1.8262,0.6059,GOOGL,106.44,107.59,106.98,160296,4,0.04
