low,relvolume,high,price,symbol,percentchange,open,watchers,hourchange,sentiment
284.54,0.4744,289.05,288.45,MSFT,0.0277,285.99,443657,1,5.45
222.3,0.5032,228.49,224.27,ENPH,-1.5798,225.06,37473,1,-0.57
177.65,0.6315,183.5,180.59,TSLA,-2.0183,179.1,892165,24,-4.74
5.87,0.4953,6.1,6.08,SOFI,1.6722,5.9,91959,0,1.92
31.0828,0.4343,31.52,31.15,INTC,-2.1363,31.1,131285,4,1.89
8.3,0.2952,8.84,8.63,CVNA,-1.9318,8.6,23286,5,-1.5
90.73,0.5063,91.12,90.97,SONY,-0.3724,91.0,2089,0,0.0
4.92,0.3154,5.17,5.1,AMC,0.9901,4.95,413188,0,-0.52
165.54,0.6395,168.16,167.63,AAPL,0.6968,165.8,878196,0,5.73
272.32,0.6812,280.0,279.31,NVDA,0.9542,273.61,421930,5,5.4
476.24,0.4242,482.74,477.07,NOC,-0.5006,480.46,8043,0,3.33
101.39,0.8364,105.12,104.3,AMZN,1.955,101.58,588753,0,2.43
88.22,0.5543,90.54,89.94,AMD,0.1782,88.51,456906,2,0.16
103.07,0.4564,104.98,104.18,GOOGL,-0.3062,103.58,160563,0,0.06
125.3,0.9493,126.98,126.32,IBM,-1.1426,126.5,51454,5,-3.05
212.94,0.4728,217.33,215.7,META,-1.0051,213.472,512956,3,3.52
128.075,0.3668,128.9,128.18,EA,-0.6665,128.58,20704,0,10.0
140.41,0.5763,141.5,141.22,JPM,-0.1273,141.23,82986,0,0.49
