relvolume,high,price,open,symbol,low,percentchange,watchers,hourchange,sentiment
0.2681,459.96,459.24,459.09,NOC,455.23,0.8764,8013,0,0.0
0.5477,281.4589,276.33,280.5,MSFT,275.52,-1.5112,442425,5,0.38
0.5726,269.94,266.47,268.37,NVDA,263.6501,-0.4929,420365,2,-1.03
0.4022,205.86,203.53,204.81,META,201.37,-1.2038,512182,6,-0.28
0.4856,200.21,197.175,199.36,ENPH,191.61,0.6046,37293,0,0.27
0.5569,197.39,193.0601,194.415,TSLA,189.94,1.3918,889468,5,-0.37
0.4837,160.77,158.88,159.94,AAPL,157.87,-0.8549,876585,0,0.28
0.7659,130.255,129.975,126.47,IBM,126.47,3.7393,51335,0,2.27
0.9829,129.31,129.1999,126.79,JPM,126.29,3.4344,82429,5,-3.66
0.3936,119.4,119.28,118.9,EA,118.14,0.21,20718,0,0.0
0.5228,104.76,102.995,104.615,GOOGL,101.9273,-2.3189,159784,1,-0.41
0.4809,99.335,98.595,99.07,AMZN,97.08,0.4739,587193,-1,-0.93
0.7397,98.93,97.265,98.02,AMD,95.425,-0.6993,456271,5,-1.6
0.8168,87.38,86.85,87.12,SONY,86.33,-0.7769,2081,0,0.0
0.476,29.73,29.5699,29.37,INTC,29.08,0.7149,130888,0,1.01
0.2182,8.3686,7.76,8.35,CVNA,7.57,-5.2503,23422,-4,-0.56
0.4465,5.88,5.835,5.82,SOFI,5.73,1.6551,91735,2,0.02
0.3769,4.5074,4.495,4.51,AMC,4.3,0.5593,411968,-2,-0.2
