symbol,high,relvolume,percentchange,open,price,low,watchers,hourchange,sentiment
AAPL,157.81,0.8489,1.5484,155.07,157.4,154.15,876026,1,-0.1
ENPH,196.88,1.1646,4.8301,189.59,192.51,185.2,37212,3,1.32
INTC,29.9,0.7742,-2.1805,29.8,29.16,28.63,130821,0,-0.99
NVDA,260.24,0.819,0.6803,256.15,259.0,251.3,419428,0,0.83
IBM,126.1508,0.7973,1.8191,124.31,125.94,124.19,51327,0,1.06
SOFI,5.54,0.8466,-4.3956,5.47,5.22,5.19,91588,10,1.1
META,199.36,0.723,1.1247,198.48,197.81,193.64,511732,-1,1.13
EA,114.28,0.5323,0.15,113.01,113.52,113.01,20730,0,33.33
CVNA,7.82,0.3366,-7.5817,7.43,7.07,6.87,23276,-3,-1.45
MSFT,277.48,1.2161,-2.5767,276.98,272.23,269.85,441940,0,0.19
AMD,96.94,1.5349,-1.0527,96.3,96.81,92.9,455937,0,-0.82
JPM,129.47,1.609,1.0571,126.99,127.14,126.01,82212,1,0.88
AMZN,98.48,0.7742,-1.2532,98.41,97.71,95.7,586757,0,0.92
NOC,452.31,0.4475,1.2759,445.27,449.26,445.005,8003,0,8.33
AMC,4.38,0.4546,2.1531,4.25,4.27,4.14,411726,1,-0.43
TSLA,186.44,0.6925,1.7321,178.08,183.25,176.35,888856,-1,-0.19
GOOGL,101.75,0.7301,-0.3936,100.12,101.22,99.88,159581,-1,-0.64
SONY,89.16,1.1668,2.196,87.52,88.42,87.33,2079,0,0.0
