high,symbol,percentchange,relvolume,price,low,open,watchers,hourchange,sentiment
9.35,CVNA,3.3296,0.3262,9.31,8.62,9.0,23318,-1,1.53
131.08,IBM,0.4061,0.3796,131.03,129.24,129.83,51366,-1,-1.68
102.2,AMZN,0.1078,0.5167,102.17,99.57,100.96,588082,-4,-0.37
289.6,MSFT,-0.7579,0.6369,289.39,284.72,289.208,443161,5,-1.38
125.8,EA,0.3675,0.3892,125.62,123.74,124.79,20703,-1,8.08
5.37,AMC,6.9388,1.2692,5.24,4.74,4.77,413140,1,0.63
195.9,ENPH,2.5131,0.4136,195.8,188.51,189.09,37403,-2,-2.06
478.17,NOC,1.3074,0.4565,476.54,470.98,470.98,8041,0,-16.67
95.79,AMD,3.2551,0.7903,95.48,91.02,91.32,456694,2,8.46
276.2099,NVDA,2.0047,0.7128,275.79,266.69,268.23,421304,3,2.31
5.92,SOFI,2.7826,0.5343,5.91,5.66,5.69,91906,2,0.76
215.66,META,-0.6247,0.4571,214.75,210.66,214.71,512686,-1,-0.53
128.23,JPM,0.3295,0.5624,127.89,126.22,126.54,82587,-1,-2.49
88.52,SONY,0.3856,0.4657,88.51,87.73,87.76,2087,0,0.0
162.03,AAPL,-1.5972,0.6369,162.03,160.08,161.42,877520,1,-2.87
107.59,GOOGL,-1.8262,0.6059,106.44,105.12,106.98,160296,4,0.04
185.0994,TSLA,-0.2972,0.8207,184.51,176.11,179.94,891035,-1,-0.31
32.76,INTC,-0.8839,0.4854,32.52,32.2,32.6,131212,-4,-1.04
