price,symbol,low,open,percentchange,relvolume,high,watchers,hourchange,sentiment
5.1,AMC,4.92,4.95,0.9901,0.3154,5.17,413188,-4,-0.7
167.63,AAPL,165.54,165.8,0.6968,0.6395,168.16,878196,0,5.92
279.31,NVDA,272.32,273.61,0.9542,0.6812,280.0,421925,4,5.3
477.07,NOC,476.24,480.46,-0.5006,0.4242,482.74,8043,0,3.33
104.3,AMZN,101.39,101.58,1.955,0.8364,105.12,588753,-2,2.4
89.94,AMD,88.22,88.51,0.1782,0.5543,90.54,456904,0,0.62
104.18,GOOGL,103.07,103.58,-0.3062,0.4564,104.98,160563,6,-0.15
126.32,IBM,125.3,126.5,-1.1426,0.9493,126.98,51449,6,-3.23
215.7,META,212.94,213.472,-1.0051,0.4728,217.33,512953,1,3.26
141.22,JPM,140.41,141.23,-0.1273,0.5763,141.5,82986,1,0.73
288.45,MSFT,284.54,285.99,0.0277,0.4744,289.05,443656,3,5.43
180.59,TSLA,177.65,179.1,-2.0183,0.6315,183.5,892141,32,-3.55
224.27,ENPH,222.3,225.06,-1.5798,0.5032,228.49,37472,0,-0.52
128.18,EA,128.075,128.58,-0.6665,0.3668,128.9,20704,0,10.0
6.08,SOFI,5.87,5.9,1.6722,0.4953,6.1,91959,-13,1.61
31.15,INTC,31.0828,31.1,-2.1363,0.4343,31.52,131281,0,1.35
8.63,CVNA,8.3,8.6,-1.9318,0.2952,8.84,23281,-1,-1.68
90.97,SONY,90.73,91.0,-0.3724,0.5063,91.12,2089,0,0.0
