symbol,percentchange,price,relvolume,open,high,low,watchers,hourchange,sentiment
TSLA,2.479,193.88,0.674,193.13,195.28,189.44,889638,9,0.48
CVNA,6.9293,7.87,0.2295,7.47,7.9,7.3616,23365,1,-7.63
EA,0.9914,119.19,0.4098,118.08,119.325,118.08,20708,-1,0.0
AAPL,1.9791,160.77,0.6109,159.37,161.04,159.35,876718,11,-0.3
MSFT,1.9184,280.51,0.5914,278.96,281.1398,278.41,442530,0,-1.71
IBM,0.2861,129.71,0.4977,130.12,130.35,129.18,51343,-1,0.76
META,2.3271,205.35,0.5083,203.56,205.72,202.54,512243,1,0.12
NOC,0.5599,461.57,0.4154,459.38,462.58,457.495,8021,0,25.0
AMZN,3.0954,100.25,0.6207,98.69,100.4218,98.5801,587352,2,1.22
GOOGL,0.3563,101.39,0.6183,102.28,102.43,100.655,159836,0,4.31
SOFI,2.8623,5.75,0.7071,5.69,5.9199,5.65,91762,2,-1.08
AMC,-2.9126,5.0,0.765,5.14,5.2084,4.83,412480,-5,-0.59
JPM,0.2017,129.14,0.9598,130.1,130.22,127.77,82460,1,-0.93
NVDA,2.1734,269.84,0.7093,268.25,270.77,265.97,420470,0,-1.37
ENPH,5.3896,203.95,0.7832,196.75,205.77,191.385,37308,1,-0.62
SONY,2.3887,87.87,1.1442,86.93,88.02,86.74,2084,0,0.0
AMD,1.618,96.09,0.8339,96.07,96.91,94.87,456332,0,-0.21
INTC,7.6135,31.52,1.6683,29.77,31.89,29.789,130911,8,7.05
