low,high,relvolume,symbol,price,percentchange,open,watchers,hourchange,sentiment
7.02,7.9,0.4207,CVNA,7.65,3.2389,7.21,23300,0,0.39
95.94,98.75,1.4973,AMD,97.84,1.2836,96.66,455822,-1,-0.57
177.33,186.21,0.6722,TSLA,180.13,-2.1724,184.515,888627,0,0.65
122.93,124.52,2.0994,IBM,123.69,-0.8099,124.08,51324,0,1.4
112.98,114.0,0.7406,EA,113.35,-0.1585,113.65,20733,-1,-25.0
276.3201,283.33,1.7577,MSFT,279.43,1.1694,278.26,441749,-2,-1.45
125.46,128.45,2.2173,JPM,125.81,-3.7782,128.38,82043,4,3.88
441.305,450.16,0.8804,NOC,443.6,-1.4551,449.81,7998,0,3.41
195.4304,201.9,1.116,META,195.61,-4.5479,200.56,511611,-6,-1.49
5.33,5.54,0.6642,SOFI,5.46,0.1835,5.47,91541,-2,5.5
97.455,100.65,0.8764,AMZN,98.95,-1.0896,99.79,586545,0,2.06
4.1078,4.34,0.6185,AMC,4.18,-4.7836,4.3,411722,-1,-0.23
29.44,30.56,1.0943,INTC,29.81,-1.226,29.92,130795,0,-4.46
100.1,102.835,1.2376,GOOGL,101.62,1.2959,100.26,159517,3,0.71
154.28,156.74,0.9896,AAPL,155.0,-0.5454,156.08,875803,-4,4.31
86.18,87.47,1.0052,SONY,86.52,0.1505,87.25,2077,0,33.33
256.68,263.99,1.3828,NVDA,257.25,0.7204,259.82,419191,-4,2.34
181.55,200.7,1.684,ENPH,183.64,-8.6822,200.7,37125,2,-3.48
