open,price,high,relvolume,low,percentchange,symbol,watchers,hourchange,sentiment
468.73,468.1,471.94,0.3915,465.0,-0.2323,NOC,8036,2,0.0
104.33,104.72,105.58,0.5141,104.04,0.345,GOOGL,160050,0,3.96
4.08,3.91,4.45,2.4701,3.88,-23.4834,AMC,412848,5,-5.39
279.66,274.53,280.0,0.686,273.08,-1.8309,NVDA,420956,5,0.16
121.43,125.24,125.47,1.0756,121.23,3.2056,EA,20708,1,0.0
9.44,9.5,9.72,0.3434,8.93,2.2605,CVNA,23341,-2,-2.4
213.39,214.72,216.24,0.5769,212.54,0.7744,META,512519,-3,4.64
197.32,192.58,198.7446,0.711,190.32,-1.1244,TSLA,890506,7,0.4
90.78,91.01,91.145,0.9783,90.36,-0.3504,SONY,2087,0,0.0
97.038,95.87,97.27,0.6455,95.21,-0.7146,AMD,456545,2,-2.4
131.99,131.6,132.1499,0.5043,130.89,-0.3483,IBM,51358,0,0.0
202.89,202.54,203.2,0.4624,198.65,-0.0296,ENPH,37367,-1,0.49
6.1,5.89,6.095,0.4678,5.835,-2.3217,SOFI,91861,7,-0.56
32.85,33.1,33.84,1.059,32.85,0.6385,INTC,131187,3,2.73
130.5,128.42,130.59,0.702,127.41,-1.3368,JPM,82526,-2,7.52
166.595,165.63,166.83,0.5431,165.11,-0.325,AAPL,877179,3,1.04
287.23,287.18,290.4499,0.6652,285.67,-0.0174,MSFT,442893,6,-0.71
102.75,103.95,104.2,0.6103,102.11,1.5038,AMZN,587808,6,2.07
