symbol,open,low,percentchange,high,price,relvolume,watchers,hourchange,sentiment
NOC,467.43,466.03,1.3475,474.58,474.58,0.2779,8039,0,0.0
MSFT,284.79,281.96,1.0961,287.01,285.93,0.4932,443283,2,-1.6
NVDA,273.7,265.17,-1.3214,274.63,268.1,0.6254,421412,4,3.86
META,214.835,212.584,1.0685,216.84,216.135,0.3896,512752,-1,-0.73
ENPH,199.9,196.78,1.026,201.26,198.9,0.3059,37404,-2,-0.14
TSLA,190.74,181.89,-2.4841,191.58,182.15,0.6602,891205,9,1.1
AAPL,161.22,160.265,0.2612,162.06,161.22,0.4431,877675,6,1.01
IBM,130.4,129.1177,-0.6747,130.87,129.54,0.3481,51369,0,-0.48
JPM,129.18,128.0603,0.5524,130.43,129.23,0.4493,82621,6,5.01
EA,126.28,125.82,1.0185,127.1812,126.96,0.2376,20702,0,-29.17
GOOGL,106.58,104.38,-0.2183,106.75,105.12,0.3472,160344,-3,-0.03
AMZN,100.4,98.41,-1.0308,100.51,98.89,0.5489,588243,6,-2.4
AMD,94.97,91.74,-1.106,94.995,92.99,0.6274,456741,6,6.04
SONY,90.0,89.37,1.091,90.4,89.88,0.2685,2089,0,0.0
INTC,32.77,31.96,-0.7725,32.89,32.1001,0.3677,131237,2,-7.19
CVNA,9.79,8.79,-6.4508,10.32,9.1304,0.4775,23331,1,6.62
SOFI,6.06,5.67,-1.675,6.05,5.87,0.7622,91918,1,1.02
AMC,5.62,5.51,3.8858,5.74,5.641,0.5684,413207,6,1.29
