percentchange,relvolume,price,low,high,symbol,open,watchers,hourchange,sentiment
1.7749,0.3595,469.915,462.72,471.55,NOC,463.3,8031,1,0.0
-0.5217,0.5803,286.796,283.95,288.27,MSFT,286.52,442828,0,-1.21
0.2052,0.6419,278.34,273.36,279.91,NVDA,275.09,420821,2,0.05
0.5096,0.4355,213.02,208.2001,213.11,META,208.84,512447,3,0.11
-3.405,0.6947,203.12,201.6293,215.8856,ENPH,213.98,37369,-1,1.5
-6.3097,0.8867,194.37,192.2,202.6897,TSLA,199.91,890319,16,-1.76
0.4851,0.5912,165.7,164.27,165.89,AAPL,164.27,877070,11,0.48
0.8773,0.3858,132.24,130.77,132.61,IBM,130.97,51351,0,2.08
0.0921,0.5092,130.43,129.41,131.43,JPM,129.91,82511,1,4.35
0.8551,0.4562,121.48,119.6,121.49,EA,120.14,20708,0,0.0
0.1832,0.4246,103.92,102.11,104.0293,GOOGL,102.39,160009,3,1.42
-1.0746,0.4727,102.18,101.43,103.29,AMZN,102.3,587675,1,1.17
-1.8774,0.6784,96.17,94.81,96.79,AMD,96.695,456505,5,-1.17
0.4633,0.818,91.07,90.455,91.09,SONY,90.41,2089,0,0.0
0.551,0.9421,32.85,32.54,33.56,INTC,32.94,131140,-4,-0.19
-6.6394,0.4523,9.14,9.085,10.16,CVNA,9.64,23361,10,0.88
-0.9061,0.732,6.015,5.94,6.275,SOFI,6.14,91846,3,-1.17
0.6986,0.444,5.045,4.94,5.145,AMC,4.99,412503,-1,0.2
