percentchange,symbol,low,relvolume,open,price,high,watchers,hourchange,sentiment
0.9741,NOC,475.77,0.6483,475.74,479.415,483.31,8042,1,-12.5
-0.0693,MSFT,287.02,0.5165,291.57,288.6,291.6,443604,0,3.56
2.5183,NVDA,273.57,1.1798,275.335,276.82,281.0802,421841,6,0.3
1.3427,ENPH,222.23,0.8254,225.43,227.94,231.31,37489,3,-0.84
-0.4067,META,216.215,0.3488,219.91,217.97,220.44,512940,4,-0.84
-1.4542,TSLA,183.5887,0.5393,187.15,184.32,187.69,891773,9,-0.82
0.811,AAPL,165.65,0.6295,166.1,166.57,167.41,878082,6,3.3
1.1264,JPM,139.03,0.8356,140.27,141.405,141.775,82988,0,0.02
0.773,EA,127.82,0.5166,128.81,129.07,129.38,20705,-1,0.0
-0.0196,IBM,127.35,0.4769,128.14,127.795,128.68,51380,1,-1.02
-1.3494,GOOGL,104.07,0.5757,106.49,104.54,106.515,160550,-1,-1.54
-0.3358,AMZN,101.52,0.555,103.95,102.395,104.2,588647,8,1.61
0.1865,SONY,90.995,0.8545,91.57,91.32,91.86,2086,0,0.0
-0.0556,AMD,89.33,0.6994,91.61,89.82,92.16,456867,0,1.32
-0.9023,INTC,31.785,0.4755,32.43,31.85,32.46,131277,2,1.77
-2.8146,CVNA,8.76,0.2683,9.22,8.805,9.285,23301,-4,-2.88
0.2517,SOFI,5.895,0.4567,6.0,5.975,6.02,91914,-2,-0.57
-2.7885,AMC,4.98,0.3403,5.23,5.055,5.212,413184,-1,-2.27
