relvolume,symbol,open,low,percentchange,price,high,watchers,hourchange,sentiment
1.2692,AMC,4.77,4.74,6.9388,5.24,5.37,413136,-2,0.88
0.4136,ENPH,189.09,188.51,2.5131,195.8,195.9,37407,0,-1.76
0.4565,NOC,470.98,470.98,1.3074,476.54,478.17,8041,0,-16.67
0.7903,AMD,91.32,91.02,3.2551,95.48,95.79,456699,3,9.14
0.5343,SOFI,5.69,5.66,2.7826,5.91,5.92,91909,2,1.07
0.5624,JPM,126.54,126.22,0.3295,127.89,128.23,82595,4,-2.49
0.7128,NVDA,268.23,266.69,2.0047,275.79,276.2099,421311,-5,2.19
0.6369,AAPL,161.42,160.08,-1.5972,162.03,162.03,877529,0,-4.02
0.4571,META,214.71,210.66,-0.6247,214.75,215.66,512691,1,-1.4
0.4657,SONY,87.76,87.73,0.3856,88.51,88.52,2088,0,0.0
0.6059,GOOGL,106.98,105.12,-1.8262,106.44,107.59,160301,2,0.22
0.4854,INTC,32.6,32.2,-0.8839,32.52,32.76,131212,1,-1.27
0.3796,IBM,129.83,129.24,0.4061,131.03,131.08,51364,0,-1.29
0.8207,TSLA,179.94,176.11,-0.2972,184.51,185.0994,891045,2,-0.17
0.3262,CVNA,9.0,8.62,3.3296,9.31,9.35,23315,0,3.53
0.3892,EA,124.79,123.74,0.3675,125.62,125.8,20703,0,4.44
0.6369,MSFT,289.208,284.72,-0.7579,289.39,289.6,443170,6,-1.93
0.5167,AMZN,100.96,99.57,0.1078,102.17,102.2,588100,2,-0.86
