relvolume,symbol,open,percentchange,high,price,low,watchers,hourchange,sentiment
0.4207,CVNA,7.21,3.2389,7.9,7.65,7.02,23300,-3,0.48
1.4973,AMD,96.66,1.2836,98.75,97.84,95.94,455823,2,-0.62
0.6722,TSLA,184.515,-2.1724,186.21,180.13,177.33,888627,-2,0.84
2.0994,IBM,124.08,-0.8099,124.52,123.69,122.93,51324,0,1.4
0.7406,EA,113.65,-0.1585,114.0,113.35,112.98,20734,-1,-25.0
1.7577,MSFT,278.26,1.1694,283.33,279.43,276.3201,441751,3,-1.53
2.2173,JPM,128.38,-3.7782,128.45,125.81,125.46,82039,0,4.47
0.8804,NOC,449.81,-1.4551,450.16,443.6,441.305,7998,0,3.41
1.116,META,200.56,-4.5479,201.9,195.61,195.4304,511617,5,-1.37
0.6642,SOFI,5.47,0.1835,5.54,5.46,5.33,91543,1,5.35
0.8764,AMZN,99.79,-1.0896,100.65,98.95,97.455,586545,-1,2.1
0.6185,AMC,4.3,-4.7836,4.34,4.18,4.1078,411723,0,-0.2
1.0943,INTC,29.92,-1.226,30.56,29.81,29.44,130795,0,-4.36
1.2376,GOOGL,100.26,1.2959,102.835,101.62,100.1,159514,0,0.74
0.9896,AAPL,156.08,-0.5454,156.74,155.0,154.28,875807,3,4.47
1.0052,SONY,87.25,0.1505,87.47,86.52,86.18,2077,0,33.33
1.3828,NVDA,259.82,0.7204,263.99,257.25,256.68,419195,3,2.48
1.684,ENPH,200.7,-8.6822,200.7,183.64,181.55,37123,0,-3.44
