price,symbol,relvolume,open,percentchange,high,low,watchers,hourchange,sentiment
5.76,SOFI,0.5937,5.82,0.3484,5.88,5.73,91735,0,0.01
96.54,AMD,0.8904,98.02,-1.4395,98.93,95.425,456272,1,-1.67
129.3,IBM,1.0705,126.47,3.2006,130.255,126.47,51336,1,2.93
202.67,META,0.4942,204.81,-1.6213,205.86,201.37,512179,-3,-0.27
86.61,SONY,1.0594,87.12,-1.0511,87.38,86.33,2080,-1,0.0
98.03,AMZN,0.5885,99.07,-0.1019,99.335,97.08,587195,2,-1.0
128.49,JPM,1.2406,126.79,2.8661,129.38,126.29,82430,1,-3.69
458.515,NOC,0.3979,459.09,0.7172,459.96,455.23,8013,0,2.78
4.575,AMC,0.5515,4.51,2.349,4.58,4.3,411966,-2,-0.26
158.12,AAPL,0.6029,159.94,-1.3292,160.77,157.87,876589,4,-0.17
7.6279,CVNA,0.2612,8.35,-6.8632,8.3686,7.57,23419,-3,-0.54
191.71,TSLA,0.6504,194.415,0.6827,197.39,189.94,889469,1,-0.5
195.725,ENPH,0.5969,199.36,-0.1352,200.21,191.61,37293,0,0.25
118.53,EA,0.6373,118.9,-0.4201,119.4,118.14,20717,-1,0.0
102.39,GOOGL,0.6543,104.615,-2.8926,104.76,101.9273,159787,3,-0.63
29.165,INTC,0.6526,29.37,-0.6642,29.73,29.08,130885,-3,0.25
265.15,NVDA,0.6791,268.37,-0.9858,269.94,263.6501,420365,0,-0.86
276.19,MSFT,0.6882,280.5,-1.5611,281.4589,275.52,442425,0,0.4
