price,open,symbol,high,low,percentchange,relvolume,watchers,hourchange,sentiment
471.99,475.72,NOC,474.875,468.84,-0.4618,0.6011,8044,0,1.43
4.99,4.94,AMC,5.07,4.91,0.4024,0.3518,413184,-1,-0.18
30.3,30.84,INTC,30.79,30.225,-1.8146,0.5032,131284,0,-0.42
140.54,139.74,JPM,141.11,138.78,-0.1917,0.6957,82974,0,-2.83
285.76,285.01,MSFT,286.26,283.0608,-0.1223,0.5756,443718,4,-1.27
129.11,129.05,EA,130.12,128.695,0.2407,0.504,20702,-1,10.0
125.73,126.0,IBM,126.69,125.27,-0.4986,1.0535,51487,-3,0.74
271.19,269.52,NVDA,271.83,267.2301,0.0553,0.644,422037,-4,1.72
212.89,210.21,META,213.41,209.76,-0.0845,0.5292,513002,2,-0.15
88.43,89.8,AMD,89.72,88.055,-1.8644,0.6306,456942,-1,2.24
106.96,106.1,AMZN,108.15,105.08,3.0344,1.2806,588924,4,1.05
165.02,165.05,AAPL,166.45,164.5,-0.9781,0.7882,15,0,-1.49
165.08,164.8,TSLA,166.0,161.33,1.2823,0.7409,892732,8,0.93
92.05,91.87,SONY,92.38,91.61,0.7332,0.7484,2089,0,0.0
8.14,7.97,CVNA,8.29,7.735,1.75,0.2397,23257,0,-3.02
223.61,223.75,ENPH,226.77,219.9,-0.5249,0.5057,37487,1,2.78
105.41,105.47,GOOGL,106.0,104.79,0.114,0.5543,160605,3,0.21
5.94,5.9,SOFI,5.99,5.85,0.3378,0.4494,91960,0,-0.12
