low,price,high,percentchange,relvolume,symbol,open,watchers,hourchange,sentiment
264.36,270.02,270.06,0.9119,0.5878,NVDA,265.655,421731,3,-1.49
137.66,139.83,140.06,0.7929,1.0164,JPM,139.95,82973,2,0.7
5.81,5.96,6.0,0.6757,0.6655,SOFI,5.89,91919,7,0.1
88.3,89.87,90.69,-2.049,0.7217,AMD,90.23,456847,3,-2.66
8.68,9.06,9.2192,1.0033,0.273,CVNA,8.91,23310,-4,-1.46
164.03,165.23,165.39,0.0121,0.5412,AAPL,165.09,878000,-2,2.07
5.1301,5.2,5.3,1.5625,0.3666,AMC,5.24,413206,-2,-1.09
217.13,218.86,220.979,-1.1874,0.4402,META,219.79,512920,20,0.43
104.52,105.97,106.155,-2.6637,0.816,GOOGL,104.658,160520,6,-12.33
126.8,127.82,128.72,-0.2497,0.5124,IBM,128.3,51378,0,-4.47
182.7,187.04,189.69,1.1027,0.6825,TSLA,186.32,891654,9,0.22
471.38,474.79,477.68,0.4698,0.4391,NOC,472.99,8041,0,8.33
31.77,32.14,32.64,0.7839,0.5168,INTC,31.95,131269,0,3.6
90.35,91.15,91.23,0.3192,0.9083,SONY,90.55,2088,0,0.0
127.14,128.08,128.42,0.1642,0.4493,EA,127.37,20707,0,-10.0
101.59,102.74,103.73,0.2244,0.5299,AMZN,103.16,588608,5,-0.47
286.2,288.8,291.58,0.9296,0.6118,MSFT,289.93,443546,7,2.75
214.7801,224.92,229.23,7.6687,1.7249,ENPH,215.0,37473,6,3.43
