symbol,high,low,price,percentchange,open,relvolume,watchers,hourchange,sentiment
EA,126.25,124.74,125.68,0.0478,125.13,0.4521,20704,0,-10.0
AAPL,162.36,160.51,160.8,-0.7591,162.35,0.6091,877605,0,-3.63
TSLA,189.19,185.65,186.79,1.2357,186.69,0.6665,891143,7,0.33
AMZN,100.99,99.01,99.92,-2.2022,100.8,0.8239,588182,3,-4.85
JPM,128.94,127.54,128.52,0.4926,128.3,0.6398,82604,1,1.62
CVNA,10.85,9.6,9.76,4.8335,9.79,0.7987,23337,2,12.8
NOC,476.12,467.525,468.27,-1.7354,476.12,0.5013,8038,0,13.33
MSFT,285.87,281.64,282.83,-2.2668,285.75,0.7591,443240,6,-2.93
AMC,5.63,5.25,5.43,3.626,5.45,0.9069,413171,-2,4.32
ENPH,199.04,193.14,196.88,0.5516,195.9,0.3554,37408,0,-0.49
AMD,96.065,92.7,94.03,-1.5186,96.06,0.7947,456723,0,3.11
GOOGL,106.73,104.68,105.35,-1.0241,106.55,0.583,160326,2,-0.92
INTC,33.11,32.32,32.35,-0.5228,32.66,0.4705,131224,1,-8.94
IBM,131.105,130.18,130.42,-0.4655,130.58,0.4743,51367,2,0.0
SONY,89.49,88.83,88.91,0.4519,89.24,0.5067,2089,0,0.0
SOFI,6.02,5.86,5.97,1.0152,5.91,0.662,91918,1,3.19
NVDA,277.89,271.26,271.69,-1.4866,277.235,0.5674,421376,4,1.35
META,216.02,213.43,213.85,-0.4191,215.48,0.4677,512735,10,-2.71
