open,low,high,symbol,price,relvolume,percentchange,watchers,hourchange,sentiment
279.66,273.08,280.0,NVDA,274.54,0.686,-1.8273,420931,6,1.79
4.08,3.88,4.45,AMC,3.895,2.4701,-23.7769,412830,-3,-5.44
104.33,104.04,105.58,GOOGL,104.74,0.5141,0.3641,160041,1,4.12
121.43,121.23,125.47,EA,125.26,1.0756,3.2221,20707,0,0.0
9.44,8.93,9.72,CVNA,9.5,0.3434,2.2605,23345,1,-1.79
197.32,190.32,198.7446,TSLA,192.63,0.711,-1.0987,890496,10,0.83
213.39,212.54,216.24,META,214.75,0.5769,0.7885,512513,0,5.69
131.99,130.9,132.13,IBM,131.58,0.5043,-0.3635,51356,1,0.0
97.038,95.21,97.27,AMD,95.88,0.6455,-0.7042,456542,1,-1.07
202.89,198.65,203.2,ENPH,202.51,0.4624,-0.0444,37369,2,0.34
90.78,90.36,91.145,SONY,91.037,0.9783,-0.3208,2087,0,0.0
6.1,5.835,6.095,SOFI,5.885,0.4678,-2.4046,91854,0,-0.4
32.85,32.85,33.84,INTC,33.095,1.059,0.6233,131182,0,2.99
130.5,127.41,130.57,JPM,128.4004,0.702,-1.3519,82527,-2,5.61
102.75,102.11,104.2,AMZN,103.93,0.6103,1.4842,587783,7,2.17
166.595,165.11,166.83,AAPL,165.59,0.5431,-0.349,877173,-8,2.24
287.23,285.67,290.4499,MSFT,287.1,0.6652,-0.0453,442890,0,1.2
468.73,465.19,471.7399,NOC,468.18,0.3915,-0.2153,8033,0,0.0
