open,high,low,symbol,percentchange,relvolume,price,watchers,hourchange,sentiment
166.1,167.41,165.65,AAPL,0.7505,0.6295,166.47,878094,4,3.69
106.49,106.515,104.07,GOOGL,-1.3872,0.5757,104.5,160554,-1,-2.31
187.15,187.69,183.5887,TSLA,-1.4596,0.5393,184.31,891794,-4,-0.73
9.22,9.285,8.76,CVNA,-2.8698,0.2683,8.8,23296,-4,-3.81
219.91,220.44,216.215,META,-0.4432,0.3488,217.89,512948,4,1.03
291.57,291.6,287.02,MSFT,-0.1489,0.5165,288.37,443619,-3,4.81
140.27,141.78,139.03,JPM,1.1228,0.8356,141.4,82989,1,-0.52
225.43,231.31,222.23,ENPH,1.3116,0.8254,227.87,37486,0,-1.73
475.74,483.4,475.74,NOC,0.9857,0.6483,479.47,8043,0,-11.11
103.95,104.2,101.52,AMZN,-0.4283,0.555,102.3,588659,2,1.45
128.81,129.38,127.82,EA,0.7495,0.5166,129.04,20704,0,0.0
128.14,128.68,127.35,IBM,-0.0313,0.4769,127.78,51379,-2,-0.62
6.0,6.02,5.895,SOFI,0.3356,0.4567,5.98,91920,2,-0.98
5.23,5.212,4.98,AMC,-2.8846,0.3403,5.05,413184,-2,-1.88
32.43,32.46,31.785,INTC,-0.9645,0.4755,31.83,131278,0,0.18
275.335,281.0802,273.57,NVDA,2.4628,1.1798,276.67,421845,-11,0.09
91.61,92.16,89.33,AMD,-0.1001,0.6994,89.78,456869,-2,2.78
91.57,91.86,90.99,SONY,0.1755,0.8545,91.31,2087,1,0.0
