symbol,percentchange,price,open,relvolume,high,low,watchers,hourchange,sentiment
GOOGL,2.6663,107.43,105.84,0.5101,107.49,105.9,160358,-6,-0.58
EA,1.7046,128.28,126.58,0.4634,128.72,126.58,20703,0,6.67
META,2.9673,220.35,215.73,0.6771,221.15,215.82,512793,2,3.03
SONY,1.174,90.49,90.1,0.7734,90.83,90.0,2088,0,0.0
TSLA,2.9689,185.9,182.955,0.6485,186.5,180.94,891320,0,0.9
AMD,-0.2599,92.09,92.79,0.6105,93.16,91.83,456761,-1,1.56
ENPH,6.9683,209.69,200.01,0.9909,211.55,198.52,37419,3,-4.18
AMC,2.2472,5.46,5.48,0.5092,5.66,5.39,413218,1,-3.14
AAPL,3.4104,165.56,161.63,0.8567,165.8,161.44,877749,11,3.98
NVDA,-0.1208,264.63,267.34,0.6485,268.869,263.29,421506,12,-2.84
IBM,-0.4979,127.9,128.01,0.8901,128.39,126.01,51363,0,6.57
AMZN,4.6714,102.4,98.95,0.9312,102.56,98.73,588377,3,5.01
CVNA,1.4069,9.37,9.27,0.3162,9.76,9.201,23333,-1,0.35
MSFT,2.2399,289.84,283.59,0.602,289.9,283.17,443350,6,0.76
JPM,0.3813,128.99,128.46,0.7779,129.035,126.84,82707,18,0.73
NOC,0.294,474.16,472.0,0.3826,476.065,469.78,8038,1,-8.57
SOFI,0.6873,5.86,5.91,0.5437,5.98,5.825,91912,0,1.34
INTC,0.3435,32.13,31.82,0.474,32.4252,31.65,131232,1,4.5
