low,percentchange,high,open,relvolume,symbol,price,watchers,hourchange,sentiment
29.789,7.6135,31.89,29.77,1.6683,INTC,31.52,130911,8,7.05
189.44,2.479,195.28,193.13,0.674,TSLA,193.88,889638,9,0.48
7.37,6.9293,7.9,7.47,0.2295,CVNA,7.87,23365,1,-7.63
118.08,0.9914,119.325,118.08,0.4098,EA,119.19,20708,-1,0.0
129.18,0.2861,130.348,130.12,0.4977,IBM,129.71,51343,-1,0.76
159.35,1.9791,161.04,159.37,0.6109,AAPL,160.77,876718,11,-0.3
457.495,0.5599,462.27,459.38,0.4154,NOC,461.57,8021,0,25.0
278.41,1.9184,281.1398,278.96,0.5914,MSFT,280.51,442530,0,-1.71
202.54,2.3271,205.72,203.56,0.5083,META,205.35,512243,1,0.12
265.97,2.1734,270.77,268.25,0.7093,NVDA,269.84,420470,0,-1.37
5.65,2.8623,5.9199,5.69,0.7071,SOFI,5.75,91762,2,-1.08
98.5801,3.0954,100.4218,98.69,0.6207,AMZN,100.25,587352,2,1.22
127.77,0.2017,130.22,130.1,0.9598,JPM,129.14,82460,1,-0.93
100.655,0.3563,102.43,102.28,0.6183,GOOGL,101.39,159836,0,4.31
86.74,2.3887,88.0,86.93,1.1442,SONY,87.87,2084,0,0.0
191.385,5.3896,205.77,196.75,0.7832,ENPH,203.95,37308,1,-0.62
94.87,1.618,96.91,96.07,0.8339,AMD,96.09,456332,0,-0.21
4.83,-2.9126,5.2084,5.14,0.765,AMC,5.0,412480,-5,-0.59
