symbol,relvolume,high,open,percentchange,price,low,watchers,hourchange,sentiment
NVDA,0.5674,277.89,277.235,-1.4866,271.69,271.26,421372,2,0.95
META,0.4677,216.02,215.48,-0.4191,213.85,213.43,512721,0,-3.23
TSLA,0.6665,189.19,186.69,1.2357,186.79,185.65,891135,0,0.29
AAPL,0.6091,162.36,162.35,-0.7591,160.8,160.51,877600,4,-3.84
AMZN,0.8239,100.99,100.8,-2.2022,99.92,99.01,588179,8,-5.58
NOC,0.5013,476.12,476.12,-1.7354,468.27,467.525,8038,0,13.33
EA,0.4521,126.25,125.13,0.0478,125.68,124.74,20704,0,-10.0
JPM,0.6398,128.94,128.3,0.4926,128.52,127.54,82602,1,1.62
CVNA,0.7987,10.85,9.79,4.8335,9.76,9.6,23335,1,12.2
MSFT,0.7591,285.87,285.75,-2.2668,282.83,281.64,443230,2,-1.27
ENPH,0.3554,199.04,195.9,0.5516,196.88,193.14,37408,0,-0.54
AMC,0.9069,5.63,5.45,3.626,5.43,5.25,413162,0,4.62
AMD,0.7947,96.065,96.06,-1.5186,94.03,92.7,456726,5,2.93
SONY,0.5067,89.49,89.24,0.4519,88.91,88.83,2089,0,0.0
INTC,0.4705,33.11,32.66,-0.5228,32.35,32.32,131221,1,-9.96
GOOGL,0.583,106.73,106.55,-1.0241,105.35,104.68,160321,0,-0.74
IBM,0.4743,131.105,130.58,-0.4655,130.42,130.18,51365,0,0.0
SOFI,0.662,6.02,5.91,1.0152,5.97,5.86,91914,3,2.79
