symbol,price,percentchange,relvolume,low,high,open,watchers,hourchange,sentiment
NVDA,271.69,-1.4866,0.5674,271.26,277.89,277.235,421370,7,1.17
TSLA,186.79,1.2357,0.6665,185.65,189.19,186.69,891135,14,0.49
META,213.85,-0.4191,0.4677,213.43,216.02,215.48,512721,1,-3.01
AAPL,160.8,-0.7591,0.6091,160.51,162.36,162.35,877596,11,-3.9
AMZN,99.92,-2.2022,0.8239,99.01,100.99,100.8,588171,5,-5.7
JPM,128.52,0.4926,0.6398,127.54,128.935,128.3,82601,0,1.62
NOC,468.27,-1.7354,0.5013,467.525,476.01,476.12,8038,-1,13.33
EA,125.68,0.0478,0.4521,124.74,126.25,125.13,20704,0,-13.64
CVNA,9.76,4.8335,0.7987,9.6,10.8485,9.79,23334,0,12.36
AMC,5.43,3.626,0.9069,5.25,5.63,5.45,413162,2,4.6
MSFT,282.83,-2.2668,0.7591,281.64,285.87,285.75,443228,6,-2.0
ENPH,196.88,0.5516,0.3554,193.14,199.04,195.9,37408,0,-0.55
IBM,130.42,-0.4655,0.4743,130.18,131.1,130.58,51365,0,-0.43
SONY,88.91,0.4519,0.5067,88.83,89.48,89.24,2089,0,0.0
AMD,94.03,-1.5186,0.7947,92.7,96.065,96.06,456721,4,3.18
GOOGL,105.35,-1.0241,0.583,104.68,106.73,106.55,160321,6,-0.26
INTC,32.35,-0.5228,0.4705,32.32,33.11,32.66,131220,-1,-9.79
SOFI,5.97,1.0152,0.662,5.86,6.02,5.91,91911,-1,2.72
