percentchange,open,price,low,symbol,high,relvolume,watchers,hourchange,sentiment
0.9457,475.74,479.28,475.77,NOC,483.31,0.5279,8042,1,-12.5
-0.3081,291.57,287.9103,287.02,MSFT,291.6,0.4742,443604,0,3.56
2.1701,275.335,275.8798,273.57,NVDA,281.0802,1.12,421841,6,0.3
1.2582,225.43,227.75,222.23,ENPH,231.31,0.7431,37489,3,-0.84
-0.5026,219.91,217.76,216.215,META,220.44,0.323,512940,4,-0.84
-1.2511,187.15,184.7,183.5887,TSLA,187.69,0.5127,891773,9,-0.82
0.7595,166.1,166.485,165.65,AAPL,167.41,0.5742,878082,6,3.3
1.2944,140.27,141.64,139.03,JPM,141.77,0.739,82988,0,0.02
0.7339,128.81,129.02,127.82,EA,129.38,0.4187,20705,-1,0.0
0.09,128.14,127.935,127.35,IBM,128.68,0.3847,51380,1,-1.02
-1.6325,106.49,104.24,104.07,GOOGL,106.515,0.5213,160550,-1,-1.54
-0.73,103.95,101.99,101.52,AMZN,104.2,0.4945,588647,8,1.61
-0.0219,91.57,91.13,90.995,SONY,91.86,0.7334,2086,0,0.0
0.0501,91.61,89.915,89.33,AMD,92.16,0.6579,456867,0,1.32
-1.0423,32.43,31.805,31.8,INTC,32.46,0.3849,131277,2,1.77
-2.4834,9.22,8.835,8.76,CVNA,9.285,0.2389,23301,-4,-2.88
0.0,6.0,5.96,5.895,SOFI,6.02,0.4031,91914,-2,-0.57
-2.7885,5.23,5.055,4.98,AMC,5.212,0.3093,413184,-1,-2.27
