relvolume,percentchange,symbol,high,open,price,low,watchers,hourchange,sentiment
0.2333,-0.7002,NOC,474.875,475.72,470.86,469.59,8044,0,-3.33
0.4503,-0.021,MSFT,286.26,285.01,286.05,283.0608,443718,1,-0.92
0.5228,-0.2824,NVDA,271.44,269.52,270.2746,267.2301,422044,1,-0.09
0.3463,0.2447,ENPH,226.77,223.75,225.34,219.9,37485,3,3.89
0.4282,-0.0094,META,213.41,210.21,213.05,209.76,513008,-4,-2.9
0.6181,1.5206,TSLA,166.0,164.8,165.4684,161.33,892711,19,-1.2
0.5934,-0.9481,AAPL,166.45,165.05,165.07,164.5,16,0,-2.86
0.4708,-0.1491,JPM,140.755,139.74,140.6,138.78,82977,0,-5.1
0.2945,0.3261,EA,130.12,129.05,129.22,129.0,20703,-1,0.0
0.8333,-0.463,IBM,126.69,126.0,125.775,125.27,51485,0,-0.26
0.9952,3.9688,AMZN,108.15,106.1,107.93,105.08,588911,8,-1.48
0.4012,0.171,GOOGL,106.0,105.47,105.47,104.79,160600,1,0.58
0.549,0.9521,SONY,92.38,91.87,92.25,91.61,2089,0,0.0
0.4814,-1.5213,AMD,89.72,89.8,88.7392,88.43,456940,0,0.71
0.3238,-1.6364,INTC,30.79,30.84,30.355,30.225,131291,0,0.72
0.1775,3.1175,CVNA,8.29,7.97,8.2494,7.735,23270,-2,-7.12
0.3337,0.8024,SOFI,5.99,5.9,5.9675,5.85,91965,0,-0.7
0.2628,0.3018,AMC,5.07,4.94,4.985,4.91,413190,0,-0.91
