low,high,open,relvolume,symbol,percentchange,price,watchers,hourchange,sentiment
445.11,452.4,450.22,0.4114,NOC,-0.7256,446.715,8008,0,-27.27
272.63,281.04,273.4,0.7787,MSFT,1.2273,277.14,442095,22,2.44
262.37,275.89,264.25,1.3383,NVDA,3.8379,272.045,419766,18,2.32
204.61,211.22,209.65,0.6375,ENPH,-0.4455,206.705,37243,0,-0.05
201.84,207.37,202.5,0.6785,META,1.1748,204.535,511868,2,2.94
193.82,200.66,199.3,0.694,TSLA,-0.9009,195.8,889104,13,-0.29
159.02,162.14,159.3,0.7134,AAPL,0.5188,160.1064,876231,7,2.85
128.31,130.655,130.56,0.9132,JPM,-1.3635,128.77,82271,-1,0.74
125.2,127.215,127.0,0.4087,IBM,-0.7269,125.65,51323,0,8.33
113.55,115.1,114.29,0.6236,EA,-0.6786,114.16,20724,0,25.0
103.67,106.59,104.27,0.8685,GOOGL,0.7577,105.715,159661,3,-5.2
99.35,102.1,100.45,0.6135,AMZN,0.1988,100.81,586914,0,0.51
95.645,101.7,95.65,1.5566,AMD,4.1801,99.94,456040,7,-2.18
87.8087,89.0699,88.91,0.7557,SONY,-1.1189,88.37,2081,0,0.0
28.31,29.12,28.48,0.5388,INTC,0.6138,28.6347,130861,1,-2.98
8.46,10.25,10.15,1.6813,CVNA,10.7188,8.78,23490,3,9.07
5.66,6.03,5.79,1.3593,SOFI,3.1418,5.745,91658,9,2.19
4.47,4.73,4.73,0.7453,AMC,2.7211,4.53,411916,-4,4.3
