open,symbol,relvolume,price,low,high,percentchange,watchers,hourchange,sentiment
467.22,NOC,0.3009,471.505,467.85,473.3,0.7274,8037,0,0.0
285.85,MSFT,0.4379,284.26,282.95,287.145,-1.0168,442935,0,-3.04
268.29,NVDA,0.7344,266.86,263.95,269.98,-2.7939,421032,17,-4.14
214.15,META,0.4132,211.43,209.95,215.19,-1.5322,512545,0,-1.58
200.0,ENPH,0.6664,193.08,187.73,201.62,-4.6707,37372,3,0.32
190.515,TSLA,0.5776,186.6696,183.76,190.68,-3.0691,890582,4,-0.87
164.74,AAPL,0.4966,162.985,161.8,165.05,-1.5969,877243,8,-5.05
131.37,IBM,0.2657,132.23,131.47,132.61,0.4787,51358,0,0.0
126.8,JPM,0.4165,127.479,126.46,128.14,0.0463,82522,-2,8.7
125.24,EA,0.4281,125.75,124.85,126.245,0.4072,20706,-1,8.33
105.78,GOOGL,0.4745,104.01,103.66,106.1,-0.678,160108,6,0.8
103.91,AMZN,0.4291,101.57,100.7506,103.91,-2.2896,587854,2,0.63
94.35,AMD,0.5898,92.34,91.36,94.5,-3.6821,456571,3,-3.4
89.9,SONY,0.4847,89.74,89.53,90.02,-1.3955,2087,0,0.0
32.795,INTC,0.5014,32.81,32.335,32.985,-0.8761,131190,-2,1.25
9.38,CVNA,0.2518,8.73,8.3901,9.38,-8.1053,23336,0,-0.89
5.87,SOFI,0.6133,5.715,5.5801,5.87,-2.9711,91868,-1,0.63
4.07,AMC,0.5478,4.005,3.94,4.09,2.4297,412895,1,-2.85
