relvolume,low,percentchange,high,price,symbol,open,watchers,hourchange,sentiment
0.5057,219.9,-0.5249,226.77,223.61,ENPH,223.75,37487,0,2.04
0.5543,104.79,0.114,106.0,105.41,GOOGL,105.47,160607,2,-0.36
0.2397,7.735,1.75,8.29,8.14,CVNA,7.97,23257,0,-1.24
0.7484,91.61,0.7332,92.38,92.05,SONY,91.87,2089,0,0.0
0.4494,5.85,0.3378,5.99,5.94,SOFI,5.9,91960,0,0.0
0.6011,468.84,-0.4618,474.875,471.99,NOC,475.72,8044,0,1.43
0.3518,4.91,0.4024,5.07,4.99,AMC,4.94,413185,1,0.07
0.5032,30.225,-1.8146,30.79,30.3,INTC,30.84,131286,2,-0.42
0.6957,138.78,-0.1917,141.11,140.54,JPM,139.74,82974,0,-3.43
0.504,128.695,0.2407,130.12,129.11,EA,129.05,20702,0,10.0
0.5756,283.0608,-0.1223,286.26,285.76,MSFT,285.01,443721,3,-1.27
0.644,267.2301,0.0553,271.83,271.19,NVDA,269.52,422037,0,1.72
1.0535,125.27,-0.4986,126.69,125.73,IBM,126.0,51487,0,0.74
0.7882,164.5,-0.9781,166.45,165.02,AAPL,165.05,12,-3,-1.21
0.5292,209.76,-0.0845,213.41,212.89,META,210.21,513002,0,0.61
0.6306,88.055,-1.8644,89.72,88.43,AMD,89.8,456942,0,1.61
1.2806,105.08,3.0344,108.15,106.96,AMZN,106.1,588936,12,0.78
0.7409,161.33,1.2823,166.0,165.08,TSLA,164.8,892738,6,0.93
