high,low,symbol,open,price,relvolume,percentchange,watchers,hourchange,sentiment
452.4,446.65,NOC,450.22,448.94,0.3022,-0.2311,8006,-1,-11.11
279.99,272.63,MSFT,273.4,278.51,0.5473,1.7277,442068,1,2.78
274.5,262.37,NVDA,264.25,272.7019,0.9809,4.0887,419733,44,2.62
210.77,204.61,ENPH,209.65,208.31,0.4495,0.3275,37241,1,0.25
207.37,201.84,META,202.5,205.47,0.4768,1.6373,511857,5,2.79
200.66,195.34,TSLA,199.3,198.48,0.4882,0.4555,889085,5,-0.57
161.52,159.118,AAPL,159.3,160.76,0.4785,0.9292,876221,5,3.94
130.655,128.84,JPM,130.56,129.93,0.6418,-0.4749,82269,0,1.67
127.215,125.84,IBM,127.0,126.34,0.2644,-0.1817,51324,-1,13.04
114.78,113.83,EA,114.29,114.47,0.5208,-0.4089,20726,-1,15.0
106.3,103.67,GOOGL,104.27,105.73,0.6142,0.772,159654,7,-4.38
101.93,99.35,AMZN,100.45,101.31,0.3943,0.6958,586906,1,1.67
100.59,95.645,AMD,95.65,99.82,1.152,4.055,456020,2,-1.46
88.91,87.8087,SONY,88.91,88.62,0.5901,-0.8392,2081,0,0.0
28.92,28.31,INTC,28.48,28.7735,0.3612,1.1015,130859,0,-2.8
10.25,8.46,CVNA,10.15,8.89,1.5342,12.1059,23480,10,9.86
6.03,5.66,SOFI,5.79,5.7762,1.0896,3.702,91646,3,3.12
4.73,4.47,AMC,4.73,4.56,0.6415,3.4014,411923,1,4.79
