relvolume,percentchange,open,price,symbol,high,low,watchers,hourchange,sentiment
0.4028,-0.3118,127.98,127.88,EA,128.53,127.45,20705,0,10.0
0.8867,0.4034,90.85,90.855,SONY,91.44,90.412,2088,0,0.0
0.6939,-0.3338,209.77,208.99,ENPH,214.57,204.67,37423,0,-3.47
0.5598,-0.468,183.95,185.03,TSLA,186.28,182.01,891423,10,-0.09
0.4201,-0.6536,32.0,31.92,INTC,32.235,31.69,131239,0,-1.9
0.6398,1.0239,5.99,5.92,SOFI,6.03,5.77,91903,-10,-0.49
0.9005,-6.2271,5.74,5.12,AMC,5.75,4.9,413217,-3,-0.28
0.5911,-0.3801,91.82,91.74,AMD,92.97,90.5,456765,-5,-0.81
0.5743,-1.2593,287.0,286.19,MSFT,288.48,283.69,443394,2,-0.1
0.7461,1.1223,265.04,267.6,NVDA,268.83,262.2,421586,2,-2.12
0.3372,-0.2868,470.55,472.8,NOC,473.09,468.94,8041,0,8.57
0.6378,0.5491,217.88,221.56,META,222.11,217.56,512836,1,-0.2
0.6373,0.2189,128.46,128.18,IBM,129.84,127.31,51370,1,-3.15
0.3345,-4.1622,9.47,8.98,CVNA,9.798,8.68,23330,0,-1.34
0.7199,0.166,102.07,102.57,AMZN,103.2013,101.11,588467,1,0.2
3.0765,7.5972,135.15,138.7896,JPM,139.12,134.95,82922,-1,7.84
0.566,1.359,106.89,108.89,GOOGL,108.935,106.88,160403,0,-2.01
0.6406,-0.1903,164.59,165.245,AAPL,166.32,163.83,877848,-3,1.05
