relvolume,symbol,low,percentchange,price,high,open,watchers,hourchange,sentiment
0.8812,AMD,97.25,1.8628,97.88,99.53,98.0,456364,4,-4.31
0.3938,NOC,458.615,-0.1582,460.84,462.865,460.46,8023,3,0.0
0.6777,AMZN,101.01,1.7057,101.96,103.04,101.55,587434,7,5.86
0.5487,IBM,129.1,-0.4086,129.18,131.47,130.16,51348,0,8.71
0.6092,TSLA,194.42,0.6757,195.19,197.328,195.58,889738,4,5.7
0.5217,EA,118.85,-0.0755,119.1,120.05,120.0,20710,0,5.56
0.6427,MSFT,281.5,1.2513,284.02,284.46,284.23,442593,5,2.31
0.5325,AMC,4.87,-1.4,4.93,5.16,5.11,412490,-4,1.11
1.4544,SONY,88.64,1.6615,89.33,89.53,88.7,2081,0,0.0
0.6652,NVDA,271.02,1.5083,273.91,274.99,272.29,420565,7,2.55
0.5721,CVNA,8.079,12.1982,8.83,9.0,8.08,23366,1,-6.96
0.7826,JPM,127.65,-0.2904,128.765,130.12,129.95,82475,0,3.37
0.5827,AAPL,161.271,0.9517,162.3,162.47,161.53,876775,3,4.67
0.6629,ENPH,203.96,0.5786,205.13,214.19,209.435,37319,0,-2.23
0.6432,META,202.85,1.2028,207.82,208.09,203.38,512294,4,6.27
0.6807,GOOGL,99.78,-0.572,100.81,101.155,100.91,159881,2,3.16
0.6344,SOFI,5.62,-0.4348,5.725,5.93,5.87,91775,-2,-0.21
1.4198,INTC,31.81,1.7608,32.075,32.58,31.85,131055,-4,11.31
