symbol,low,high,relvolume,open,percentchange,price,watchers,hourchange,sentiment
JPM,123.1163,125.68,1.496,125.63,-1.5453,124.88,82363,1,-0.86
TSLA,187.15,192.36,0.6231,191.65,-1.0301,190.24,889277,1,-1.76
SONY,86.96,88.3,1.3895,88.3,-0.861,87.51,2082,0,0.0
NOC,443.105,456.2,0.7919,445.08,2.4143,455.17,8013,-1,-5.0
NVDA,263.55,271.67,0.8619,270.31,-1.4475,267.974,420185,0,-1.19
MSFT,275.3,280.59,0.7429,277.24,1.03,280.52,442238,2,-2.65
AAPL,157.85,160.29,0.6983,158.86,0.8557,160.29,876381,7,-2.83
AMD,96.74,99.52,1.0179,99.18,-2.2637,98.01,456188,2,-3.33
CVNA,7.95,8.47,0.2716,8.18,-1.5569,8.22,23423,0,-1.35
ENPH,192.46,203.55,0.8771,202.35,-4.1825,196.1,37274,2,4.85
IBM,122.89,125.4,0.6283,123.36,1.5887,125.33,51325,-1,-0.54
EA,117.61,119.205,0.8715,118.08,2.6112,119.07,20719,0,7.14
AMC,4.38,4.54,0.283,4.4,-0.1119,4.465,411924,-4,-0.03
SOFI,5.645,5.83,0.4643,5.675,-0.6055,5.745,91705,1,-0.2
INTC,28.93,29.81,1.0801,29.04,1.2332,29.388,130869,-1,-1.71
AMZN,96.4,98.295,0.6949,98.065,-0.5977,98.12,587040,2,-1.4
META,203.55,207.574,0.7884,205.18,0.8714,206.06,512060,6,-0.91
GOOGL,103.84,105.45,0.6651,104.99,-0.1705,105.42,159715,0,-4.66
