relvolume,low,high,price,symbol,open,percentchange,watchers,hourchange,sentiment
0.9555,5.67,6.05,5.82,SOFI,6.06,-2.5126,91918,-1,-0.21
0.4255,466.03,474.7299,472.77,NOC,467.43,0.961,8038,0,0.0
0.6074,128.18,130.87,128.54,IBM,130.4,-1.4415,51367,0,-2.42
0.8136,91.74,94.995,92.33,AMD,94.97,-1.8079,456745,-1,6.35
0.4105,125.82,127.1812,126.13,EA,126.28,0.3581,20702,0,-16.67
0.7301,281.96,287.01,283.49,MSFT,284.79,0.2334,443294,0,-1.47
0.6508,159.78,162.06,160.1,AAPL,161.22,-0.4353,877684,7,0.82
0.5844,8.79,10.32,9.24,CVNA,9.79,-5.3279,23330,0,6.59
0.827,5.34,5.74,5.34,AMC,5.62,-1.6575,413213,2,0.38
0.4882,89.29,90.4,89.44,SONY,90.0,0.5961,2089,0,0.0
0.66,128.0603,130.43,128.5,JPM,129.18,-0.0156,82616,0,-0.52
0.8639,180.31,191.58,180.54,TSLA,190.74,-3.346,891217,7,-0.13
0.5478,212.584,216.84,214.0,META,214.835,0.0701,512758,1,-1.25
0.8408,264.4786,274.63,264.95,NVDA,273.7,-2.4808,421429,0,1.09
0.4414,195.81,201.26,196.03,ENPH,199.9,-0.4317,37409,0,1.68
0.7773,97.705,100.51,97.83,AMZN,100.4,-2.0917,588258,4,-0.77
0.5099,104.34,106.75,104.64,GOOGL,106.58,-0.6739,160343,4,-0.19
0.5877,31.96,32.89,32.02,INTC,32.77,-1.0201,131234,0,-6.8
