open,low,price,relvolume,percentchange,symbol,high,watchers,hourchange,sentiment
209.77,204.67,208.9,0.6939,-0.3767,ENPH,214.57,37426,4,-3.37
127.98,127.45,127.87,0.4028,-0.3196,EA,128.53,20705,0,0.0
90.85,90.412,90.86,0.8867,0.4089,SONY,91.46,2088,0,0.0
183.95,182.01,185.0,0.5598,-0.4841,TSLA,186.28,891435,9,0.43
32.0,31.69,31.89,0.4201,-0.747,INTC,32.235,131241,0,-1.3
5.74,4.9,5.12,0.9005,-6.2271,AMC,5.75,413215,1,-0.66
5.99,5.77,5.92,0.6398,1.0239,SOFI,6.03,91900,1,-0.83
470.55,468.765,472.57,0.3372,-0.3353,NOC,473.09,8040,0,0.0
265.04,262.2,267.58,0.7461,1.1148,NVDA,268.83,421602,5,-0.7
287.0,283.69,286.14,0.5743,-1.2766,MSFT,288.48,443403,0,-0.17
9.47,8.68,8.97,0.3345,-4.2689,CVNA,9.798,23325,0,-2.58
91.82,90.5,91.75,0.5911,-0.3692,AMD,92.97,456769,0,0.36
102.07,101.11,102.51,0.7199,0.1074,AMZN,103.2013,588478,5,0.97
217.88,217.56,221.49,0.6378,0.5174,META,222.11,512854,0,1.21
128.46,127.31,128.14,0.6373,0.1876,IBM,129.84,51370,0,-6.55
106.89,106.88,108.87,0.566,1.3404,GOOGL,108.935,160402,0,-0.3
164.59,163.83,165.21,0.6406,-0.2114,AAPL,166.32,877859,4,1.16
135.15,134.9001,138.73,3.0765,7.551,JPM,139.12,82936,0,4.64
