low,symbol,percentchange,open,relvolume,price,high,watchers,hourchange,sentiment
469.0688,NOC,-1.5056,476.12,0.3841,469.365,476.01,8039,0,5.0
281.64,MSFT,-2.0491,285.75,0.6693,283.46,285.87,443222,11,-2.01
271.26,NVDA,-0.8013,277.235,0.5053,273.5801,277.89,421358,5,-0.42
213.83,META,0.0326,215.48,0.4189,214.82,216.02,512716,1,-2.07
193.14,ENPH,1.0725,195.9,0.3054,197.9,199.04,37408,-2,-0.86
185.65,TSLA,2.0703,186.69,0.6154,188.3299,189.19,891122,8,-0.07
160.51,AAPL,-0.4258,162.35,0.5177,161.34,162.36,877578,5,-4.72
130.18,IBM,0.0076,130.58,0.374,131.04,131.1,51365,1,0.0
127.54,JPM,0.7389,128.3,0.5442,128.835,128.93,82602,0,0.17
124.74,EA,0.2746,125.13,0.3522,125.965,126.25,20704,0,-1.14
104.68,GOOGL,-0.451,106.55,0.5113,105.96,106.73,160315,2,-0.08
99.01,AMZN,-1.7226,100.8,0.7365,100.41,100.99,588161,7,-5.29
92.7,AMD,-1.1418,96.06,0.722,94.3898,96.065,456714,0,3.47
88.98,SONY,0.8361,89.24,0.4056,89.25,89.48,2089,0,0.0
32.45,INTC,0.1845,32.66,0.3861,32.58,33.11,131221,-2,-10.6
9.6,CVNA,5.102,9.79,0.7298,9.785,10.8485,23334,2,13.41
5.86,SOFI,1.3536,5.91,0.5854,5.99,6.02,91914,0,2.29
5.25,AMC,5.8206,5.45,0.8146,5.545,5.63,413160,4,4.39
