percentchange,open,low,relvolume,price,high,symbol,watchers,hourchange,sentiment
1.1264,140.27,139.03,0.8356,141.405,141.775,JPM,82991,3,-0.05
-0.0693,291.57,287.02,0.5165,288.6,291.6,MSFT,443612,8,3.43
-0.3358,103.95,101.52,0.555,102.395,104.2,AMZN,588649,2,0.89
0.773,128.81,127.82,0.5166,129.07,129.38,EA,20704,-1,0.0
-0.0196,128.14,127.35,0.4769,127.795,128.68,IBM,51381,1,-1.02
0.9741,475.74,475.77,0.6483,479.415,483.31,NOC,8043,1,-12.5
1.3427,225.43,222.23,0.8254,227.94,231.31,ENPH,37487,-2,-1.75
0.2517,6.0,5.895,0.4567,5.975,6.02,SOFI,91914,0,-0.8
0.1865,91.57,90.995,0.8545,91.32,91.86,SONY,2086,0,0.0
2.5183,275.335,273.57,1.1798,276.82,281.0802,NVDA,421847,6,-0.55
-2.7885,5.23,4.98,0.3403,5.055,5.212,AMC,413186,2,-2.37
-0.0556,91.61,89.33,0.6994,89.82,92.16,AMD,456869,2,1.54
-0.9023,32.43,31.785,0.4755,31.85,32.46,INTC,131272,-5,2.27
0.811,166.1,165.65,0.6295,166.57,167.41,AAPL,878083,1,3.21
-1.4542,187.15,183.5887,0.5393,184.32,187.69,TSLA,891778,5,-0.77
-1.3494,106.49,104.07,0.5757,104.54,106.515,GOOGL,160548,-2,-1.3
-2.8146,9.22,8.76,0.2683,8.805,9.285,CVNA,23302,1,-3.04
-0.4067,219.91,216.215,0.3488,217.97,220.44,META,512939,-1,-0.63
