percentchange,open,relvolume,price,high,symbol,low,watchers,hourchange,sentiment
0.0304,468.73,0.2936,469.3324,471.7399,NOC,465.19,8034,0,0.0
-0.3603,287.23,0.5517,286.195,290.4499,MSFT,286.1,442888,2,0.6
-1.7542,279.66,0.5719,274.7445,280.0,NVDA,274.52,420921,10,2.45
0.1737,213.39,0.4911,213.44,216.24,META,212.54,512512,15,5.5
-0.1876,202.89,0.371,202.22,203.2,ENPH,198.65,37367,0,0.85
-1.9977,197.32,0.6239,190.8791,198.7446,TSLA,190.6,890479,15,1.04
-0.445,166.595,0.444,165.4306,166.83,AAPL,165.33,877179,7,2.74
-0.8254,131.99,0.3727,130.97,132.13,IBM,130.9,51355,0,0.0
-1.7369,130.5,0.5668,127.8992,130.57,JPM,127.41,82528,1,3.09
2.843,121.43,0.8558,124.8,125.47,EA,121.23,20707,0,0.0
0.024,104.33,0.4209,104.385,105.58,GOOGL,104.04,160040,0,4.33
1.2206,102.75,0.4803,103.66,103.885,AMZN,102.11,587774,10,1.89
-0.9424,97.038,0.5237,95.65,97.27,AMD,95.5915,456534,10,-1.22
-0.6351,90.78,0.6384,90.75,91.145,SONY,90.36,2087,0,0.0
0.4409,32.85,0.8684,33.035,33.84,INTC,32.91,131179,0,3.08
1.8332,9.44,0.2904,9.4603,9.72,CVNA,8.93,23344,-1,-3.89
-2.7032,6.1,0.385,5.867,6.095,SOFI,5.835,91855,3,-0.78
-23.865,4.08,2.1806,3.8905,4.45,AMC,3.89,412828,10,-3.84
