relvolume,symbol,low,open,high,percentchange,price,watchers,hourchange,sentiment
0.3452,NOC,471.38,472.99,477.68,0.2477,473.7404,8040,0,8.33
0.5597,MSFT,286.2,289.93,291.58,0.7199,288.2,443539,0,1.84
0.5368,NVDA,264.36,265.655,269.2299,0.4829,268.8721,421729,6,-1.29
1.5568,ENPH,214.7801,215.0,229.23,7.8315,225.26,37465,5,3.35
0.4016,META,217.13,219.79,220.979,-0.9255,219.44,512902,4,0.56
0.6377,TSLA,182.7,186.32,189.69,0.8371,186.5486,891638,14,0.61
0.4917,AAPL,164.03,165.09,165.39,0.0121,165.23,878005,7,1.79
0.8928,JPM,137.66,139.95,140.06,0.5478,139.49,82968,0,0.57
0.3676,EA,127.14,127.37,128.42,0.1799,128.1,20706,0,-10.0
0.4283,IBM,126.8,128.3,128.72,-0.5151,127.48,51377,0,-3.45
0.7587,GOOGL,104.52,104.658,106.07,-2.6178,106.02,160517,7,-11.56
0.4833,AMZN,101.59,103.16,103.73,-0.0439,102.465,588603,0,-1.11
0.7724,SONY,90.35,90.55,91.23,0.2862,91.12,2088,0,0.0
0.6664,AMD,88.3,90.23,90.69,-2.2671,89.6699,456845,5,-1.85
0.4431,INTC,31.77,31.95,32.64,0.5644,32.07,131268,2,3.07
0.2473,CVNA,8.68,8.91,9.2192,0.1115,8.98,23313,0,-1.16
0.6201,SOFI,5.81,5.89,6.0,0.7601,5.965,91914,3,0.0
0.3279,AMC,5.1301,5.24,5.3,0.3906,5.14,413208,-2,-1.23
