percentchange,open,high,symbol,price,relvolume,low,watchers,hourchange,sentiment
2.4323,445.08,456.2,NOC,455.25,0.7919,443.105,8013,0,-10.23
-4.2363,202.35,203.55,ENPH,195.99,0.8771,192.46,37276,1,4.84
-2.3235,99.18,99.52,AMD,97.95,1.0179,96.74,456182,0,-2.72
-1.9162,8.18,8.47,CVNA,8.19,0.2716,7.95,23420,1,-0.69
1.5563,123.36,125.4,IBM,125.29,0.6283,122.88,51327,2,-2.69
2.5767,118.08,119.205,EA,119.03,0.8715,117.61,20720,0,0.0
0.0,4.4,4.54,AMC,4.47,0.283,4.38,411926,7,-0.09
-0.692,5.675,5.83,SOFI,5.74,0.4643,5.645,91704,0,-0.16
0.8469,205.18,207.574,META,206.01,0.7884,203.55,512047,1,3.06
1.1368,29.04,29.81,INTC,29.36,1.0801,28.93,130869,1,-1.05
-0.5876,98.065,98.295,AMZN,98.13,0.6949,96.4,587044,2,-1.46
-0.1515,104.99,105.49,GOOGL,105.44,0.6651,103.84,159719,3,-3.55
-0.9416,191.65,192.36,TSLA,190.41,0.6231,187.15,889279,0,-1.21
-1.5216,125.63,125.68,JPM,124.91,1.496,123.11,82371,3,-0.03
-1.5152,270.31,271.67,NVDA,267.79,0.8619,263.55,420192,-4,-1.2
-0.8383,88.3,88.3,SONY,87.53,1.3895,86.96,2082,0,0.0
1.048,277.24,280.63,MSFT,280.57,0.7429,275.3,442247,2,0.18
0.8306,158.86,160.34,AAPL,160.25,0.6983,157.85,876396,5,-1.32
