percentchange,price,low,high,open,symbol,relvolume,watchers,hourchange,sentiment
1.2627,474.1828,466.03,474.35,467.43,NOC,0.2721,8039,0,0.0
1.2499,286.365,281.96,287.01,284.79,MSFT,0.4756,443283,2,-1.6
-1.1557,268.55,265.17,274.63,273.7,NVDA,0.6047,421412,4,3.86
1.0428,216.08,212.584,216.8312,214.835,META,0.3746,512752,-1,-0.73
1.3282,199.495,196.78,201.26,199.9,ENPH,0.2967,37404,-2,-0.14
-2.1521,182.77,181.89,191.58,190.74,TSLA,0.639,891205,9,1.1
0.3296,161.33,160.265,162.06,161.22,AAPL,0.4288,877675,6,1.01
-0.6977,129.51,129.1177,130.87,130.4,IBM,0.338,51369,0,-0.48
0.4046,129.04,128.0603,130.43,129.18,JPM,0.4367,82621,6,5.01
0.9707,126.9,125.82,127.1812,126.28,EA,0.2286,20702,0,-29.17
-0.1993,105.14,104.38,106.75,106.58,GOOGL,0.3367,160344,-3,-0.03
-0.8757,99.045,98.41,100.51,100.4,AMZN,0.5328,588243,6,-2.4
-1.0421,93.0501,91.74,94.995,94.97,AMD,0.61,456741,6,6.04
1.1135,89.9,89.37,90.4,90.0,SONY,0.2615,2089,0,0.0
-0.7573,32.105,31.96,32.89,32.77,INTC,0.3573,131237,2,-7.19
-5.2254,9.25,8.79,10.32,9.79,CVNA,0.4711,23331,1,6.62
-1.5075,5.88,5.67,6.05,6.06,SOFI,0.7499,91918,1,1.02
4.0516,5.65,5.51,5.74,5.62,AMC,0.5573,413207,6,1.29
