low,percentchange,price,relvolume,high,symbol,open,watchers,hourchange,sentiment
281.96,0.2334,283.49,0.7301,287.01,MSFT,284.79,443296,0,-1.71
125.82,0.3581,126.13,0.4105,127.1812,EA,126.28,20703,0,-16.67
159.78,-0.4353,160.1,0.6508,162.06,AAPL,161.22,877688,4,0.58
91.74,-1.8079,92.33,0.8136,94.995,AMD,94.97,456745,-2,5.58
5.34,-1.6575,5.34,0.827,5.74,AMC,5.62,413218,0,0.01
8.79,-5.3279,9.24,0.5844,10.32,CVNA,9.79,23329,0,5.67
89.29,0.5961,89.44,0.4882,90.4,SONY,90.0,2089,0,0.0
128.0603,-0.0156,128.5,0.66,130.43,JPM,129.18,82625,1,-3.21
180.31,-3.346,180.54,0.8639,191.58,TSLA,190.74,891235,8,-0.46
212.584,0.0701,214.0,0.5478,216.84,META,214.835,512769,3,-1.85
264.4786,-2.4808,264.95,0.8408,274.63,NVDA,273.7,421444,0,-0.32
97.705,-2.0917,97.83,0.7773,100.51,AMZN,100.4,588275,2,-0.12
195.81,-0.4317,196.03,0.4414,201.26,ENPH,199.9,37410,0,2.29
104.34,-0.6739,104.64,0.5099,106.75,GOOGL,106.58,160346,2,0.16
31.96,-1.0201,32.02,0.5877,32.89,INTC,32.77,131233,0,-7.09
128.18,-1.4415,128.54,0.6074,130.87,IBM,130.4,51369,0,-2.42
466.03,0.961,472.77,0.4255,474.7299,NOC,467.43,8038,0,3.33
5.67,-2.5126,5.82,0.9555,6.05,SOFI,6.06,91916,0,-0.34
