percentchange,symbol,high,relvolume,open,low,price,watchers,hourchange,sentiment
-1.705,NOC,451.41,0.659,449.81,441.305,442.475,7996,0,1.11
1.0536,MSFT,283.33,1.6009,278.26,276.3201,279.11,441723,11,1.96
1.9381,NVDA,263.99,1.2516,259.82,256.68,260.36,419169,13,4.37
-3.3816,META,201.9,0.9612,200.56,195.92,198.0,511604,16,-0.47
-8.6624,ENPH,200.7,1.4977,200.7,181.55,183.68,37086,14,-4.65
-2.1995,TSLA,186.21,0.6216,184.515,177.33,180.08,888605,-1,2.68
-0.4363,AAPL,156.74,0.8928,156.08,154.28,155.17,875776,0,6.18
-3.6486,JPM,128.45,1.8492,128.38,125.46,125.9794,82027,7,4.98
-0.6937,IBM,124.2,1.4107,124.08,122.935,123.835,51322,-1,6.08
-0.0352,EA,114.0,0.5975,113.65,112.98,113.49,20736,0,0.0
1.2211,GOOGL,102.835,1.0999,100.26,100.1,101.545,159500,1,2.5
-1.0696,AMZN,100.65,0.7907,99.79,97.455,98.97,586534,3,2.44
1.087,AMD,98.75,1.3352,96.66,95.94,97.65,455814,5,2.04
0.3686,SONY,87.445,0.7839,87.25,86.19,86.7084,2077,0,33.33
-1.5739,INTC,30.56,0.8711,29.92,29.44,29.705,130791,0,-1.62
4.251,CVNA,7.9,0.3729,7.21,7.02,7.725,23307,-2,0.72
1.5596,SOFI,5.535,0.5158,5.47,5.33,5.535,91541,1,5.24
-3.5308,AMC,4.34,0.537,4.3,4.108,4.235,411726,-1,0.19
