low,symbol,relvolume,price,high,open,percentchange,watchers,hourchange,sentiment
475.77,NOC,0.4083,481.685,483.31,475.74,1.4522,8041,0,-17.86
287.02,MSFT,0.3829,287.83,291.6,291.57,-0.3359,443599,0,3.61
275.25,NVDA,0.9016,276.9299,281.0802,275.335,2.559,421809,8,-0.33
222.23,ENPH,0.6337,227.04,231.31,225.43,0.9426,37486,3,-1.64
216.215,META,0.2637,218.155,220.44,219.91,-0.3221,512934,2,-0.12
183.5887,TSLA,0.4119,185.22,187.69,187.15,-0.9731,891741,0,-0.83
165.65,AAPL,0.4574,166.29,167.41,166.1,0.6415,878073,4,3.12
139.03,JPM,0.566,141.69,141.725,140.27,1.3302,82985,1,0.17
127.82,EA,0.2071,129.01,129.09,128.81,0.7261,20706,0,0.0
127.35,IBM,0.2752,128.05,128.68,128.14,0.1799,51378,0,-1.59
104.4,GOOGL,0.4231,104.71,106.515,106.49,-1.189,160548,0,-1.33
101.77,AMZN,0.3717,102.0028,104.2,103.95,-0.7175,588640,2,2.06
90.995,SONY,0.4886,91.12,91.86,91.57,-0.0329,2086,-2,0.0
89.78,AMD,0.5477,89.87,92.16,91.61,0.0,456861,-5,0.12
31.8,INTC,0.2719,31.925,32.46,32.43,-0.6689,131272,-1,-0.84
8.76,CVNA,0.199,8.865,9.285,9.22,-2.1523,23308,0,-3.62
5.895,SOFI,0.3257,5.93,6.02,6.0,-0.5034,91917,-1,-0.41
4.98,AMC,0.2596,5.0599,5.212,5.23,-2.6942,413185,0,-1.62
