low,percentchange,high,symbol,open,relvolume,price,watchers,hourchange,sentiment
197.9,-1.0649,201.03,META,200.15,0.535,200.68,512220,-3,-3.47
92.87,-2.1219,96.93,AMD,96.77,0.907,94.56,456309,2,-1.22
117.38,-0.5226,118.4425,EA,118.085,0.5197,118.02,20715,0,-1.01
258.5,-0.4561,265.13,NVDA,264.47,0.6755,264.1,420423,3,-0.39
457.59,0.1637,461.5,NOC,458.31,0.3387,459.0,8016,0,-2.78
96.29,-0.816,98.44,AMZN,98.11,0.4953,97.24,587260,7,-1.74
185.43,-1.3659,192.35,TSLA,192.0,0.5363,189.19,889585,16,-3.02
85.745,-0.9464,86.6682,SONY,86.11,0.8063,85.82,2081,0,0.0
4.46,13.1868,5.5,AMC,4.51,2.4732,5.15,412081,107,-0.37
5.51,-2.9514,5.79,SOFI,5.74,0.5751,5.59,91755,0,0.53
28.63,0.377,29.33,INTC,29.075,0.6633,29.29,130891,0,-0.81
99.7401,-1.3957,102.4,GOOGL,102.44,0.707,101.03,159817,0,-4.76
7.22,-3.4121,7.72,CVNA,7.57,0.235,7.36,23387,-7,-0.32
190.624,-1.1796,196.515,ENPH,196.0,0.3801,193.52,37298,-1,-3.4
128.8,0.0232,129.66,IBM,129.18,0.4651,129.34,51344,0,3.35
272.05,-0.4161,276.13,MSFT,275.79,0.5713,275.23,442486,4,-2.62
155.98,-0.398,158.1277,AAPL,157.97,0.5555,157.65,876656,3,-2.51
127.75,0.3035,129.3417,JPM,128.71,0.7437,128.88,82450,-1,-1.89
