percentchange,price,symbol,high,low,open,relvolume,watchers,hourchange,sentiment
-0.2302,468.11,NOC,471.7399,465.19,468.73,0.252,8034,0,0.0
0.2159,287.85,MSFT,290.4499,286.33,287.23,0.4898,442886,5,0.76
-0.9798,276.91,NVDA,280.0,274.89,279.66,0.493,420911,4,2.23
0.2675,213.64,META,216.24,212.54,213.39,0.4473,512497,-2,4.74
-0.1185,202.36,ENPH,203.2,198.65,202.89,0.3347,37367,0,0.24
-1.263,192.31,TSLA,198.7446,190.6,197.32,0.5604,890464,3,0.91
-0.0963,166.01,AAPL,166.83,165.418,166.595,0.3865,877172,5,3.28
-0.5149,131.38,IBM,132.13,131.04,131.99,0.3229,51355,-2,0.0
-1.4982,128.21,JPM,130.57,127.41,130.5,0.5016,82527,1,3.42
2.9089,124.88,EA,125.47,121.23,121.43,0.7585,20707,0,0.0
0.2587,104.63,GOOGL,105.58,104.04,104.33,0.379,160040,0,4.53
0.8223,103.2521,AMZN,103.765,102.11,102.75,0.4022,587764,8,2.14
-0.3321,96.2393,AMD,97.27,95.73,97.038,0.4565,456524,2,-0.72
-0.7227,90.67,SONY,91.145,90.36,90.78,0.363,2087,0,0.0
0.8209,33.16,INTC,33.84,32.91,32.85,0.7437,131179,5,2.69
0.4844,9.335,CVNA,9.72,8.93,9.44,0.2591,23345,2,-2.98
-1.9071,5.915,SOFI,6.095,5.835,6.1,0.3283,91852,-1,-0.86
-22.9941,3.935,AMC,4.45,3.9,4.08,2.0327,412818,17,-3.62
