price,open,symbol,relvolume,high,low,percentchange,watchers,hourchange,sentiment
7.65,7.21,CVNA,0.4207,7.9,7.02,3.2389,23303,-5,0.27
97.84,96.66,AMD,1.4973,98.75,95.94,1.2836,455821,-2,-0.24
180.13,184.515,TSLA,0.6722,186.21,177.33,-2.1724,888629,3,1.1
123.69,124.08,IBM,2.0994,124.52,122.93,-0.8099,51324,0,1.4
279.43,278.26,MSFT,1.7577,283.33,276.3201,1.1694,441748,4,-1.58
125.81,128.38,JPM,2.2173,128.45,125.46,-3.7782,82039,1,4.66
195.61,200.56,META,1.116,201.9,195.4304,-4.5479,511612,1,-1.09
443.6,449.81,NOC,0.8804,450.16,441.305,-1.4551,7998,0,3.41
5.46,5.47,SOFI,0.6642,5.54,5.33,0.1835,91542,0,5.29
98.95,99.79,AMZN,0.8764,100.65,97.455,-1.0896,586546,-6,2.06
113.35,113.65,EA,0.7406,114.0,112.98,-0.1585,20735,0,-25.0
4.18,4.3,AMC,0.6185,4.34,4.1078,-4.7836,411723,1,-0.13
101.62,100.26,GOOGL,1.2376,102.835,100.1,1.2959,159514,-2,1.05
29.81,29.92,INTC,1.0943,30.56,29.44,-1.226,130795,0,-4.25
155.0,156.08,AAPL,0.9896,156.74,154.28,-0.5454,875804,-3,4.59
86.52,87.25,SONY,1.0052,87.47,86.18,0.1505,2077,0,33.33
183.64,200.7,ENPH,1.684,200.7,181.55,-8.6822,37123,6,-3.29
257.25,259.82,NVDA,1.3828,263.99,256.68,0.7204,419192,3,2.58
