percentchange,symbol,high,price,relvolume,low,open,watchers,hourchange,sentiment
1.2405,NOC,483.31,480.68,0.4576,475.77,475.74,8041,0,-17.86
-0.3954,MSFT,291.6,287.658,0.432,287.02,291.57,443604,5,4.12
1.5628,NVDA,281.0802,274.24,1.0198,273.95,275.335,421835,26,-0.18
0.3557,ENPH,231.31,225.72,0.6819,222.23,225.43,37486,0,-0.4
-0.5392,META,220.44,217.68,0.289,216.215,219.91,512936,2,-0.81
-1.497,TSLA,187.69,184.24,0.4654,183.5887,187.15,891764,23,-0.76
0.6052,AAPL,167.41,166.23,0.5174,165.65,166.1,878076,3,3.3
1.2015,JPM,141.77,141.51,0.6548,139.03,140.27,82988,3,0.28
0.7261,EA,129.38,129.01,0.3388,127.82,128.81,20706,0,0.0
0.1017,IBM,128.68,127.95,0.3241,127.35,128.14,51379,1,-1.59
-1.4249,GOOGL,106.515,104.46,0.4619,104.4,106.49,160551,3,-0.88
-1.0707,AMZN,104.2,101.64,0.4233,101.61,103.95,588639,-1,1.99
-0.1317,SONY,91.86,91.03,0.5382,90.995,91.57,2086,0,0.0
-0.4089,AMD,92.16,89.5025,0.5981,89.45,91.61,456867,6,0.88
-0.8556,INTC,32.46,31.865,0.3269,31.8,32.43,131275,3,0.32
-2.0419,CVNA,9.285,8.875,0.2174,8.76,9.22,23305,-3,-4.05
-0.2517,SOFI,6.02,5.945,0.3552,5.895,6.0,91916,-1,-0.55
-2.7885,AMC,5.212,5.055,0.2783,4.98,5.23,413185,0,-2.03
