open,high,relvolume,symbol,price,low,percentchange,watchers,hourchange,sentiment
285.99,289.05,0.4744,MSFT,288.45,284.54,0.0277,443656,3,5.43
225.06,228.49,0.5032,ENPH,224.27,222.3,-1.5798,37472,0,-0.52
179.1,183.5,0.6315,TSLA,180.59,177.65,-2.0183,892141,32,-3.55
5.9,6.1,0.4953,SOFI,6.08,5.87,1.6722,91959,-13,1.61
31.1,31.52,0.4343,INTC,31.15,31.0828,-2.1363,131281,0,1.35
8.6,8.84,0.2952,CVNA,8.63,8.3,-1.9318,23281,-1,-1.68
91.0,91.12,0.5063,SONY,90.97,90.73,-0.3724,2089,0,0.0
4.95,5.17,0.3154,AMC,5.1,4.92,0.9901,413188,-4,-0.7
165.8,168.16,0.6395,AAPL,167.63,165.54,0.6968,878196,0,5.92
273.61,280.0,0.6812,NVDA,279.31,272.32,0.9542,421925,4,5.3
480.46,482.74,0.4242,NOC,477.07,476.24,-0.5006,8043,0,3.33
101.58,105.12,0.8364,AMZN,104.3,101.39,1.955,588753,-2,2.4
88.51,90.54,0.5543,AMD,89.94,88.22,0.1782,456904,0,0.62
103.58,104.98,0.4564,GOOGL,104.18,103.07,-0.3062,160563,6,-0.15
126.5,126.98,0.9493,IBM,126.32,125.3,-1.1426,51449,6,-3.23
213.472,217.33,0.4728,META,215.7,212.94,-1.0051,512953,1,3.26
128.58,128.9,0.3668,EA,128.18,128.075,-0.6665,20704,0,10.0
141.23,141.5,0.5763,JPM,141.22,140.41,-0.1273,82986,1,0.73
