price,low,high,open,percentchange,symbol,relvolume,watchers,hourchange,sentiment
472.79,466.03,474.7299,467.43,0.9653,NOC,0.4255,8038,0,0.0
283.44,281.96,287.01,284.79,0.2157,MSFT,0.7301,443295,7,-1.17
264.71,264.4786,274.63,273.7,-2.5691,NVDA,0.8408,421418,3,4.17
213.99,212.584,216.84,214.835,0.0655,META,0.5478,512754,6,-0.58
195.96,195.81,201.26,199.9,-0.4673,ENPH,0.4414,37406,2,2.01
180.435,180.32,191.58,190.74,-3.4022,TSLA,0.8639,891214,12,0.73
160.09,159.78,162.06,161.22,-0.4415,AAPL,0.6508,877676,1,1.58
128.525,128.18,130.87,130.4,-1.453,IBM,0.6074,51367,0,-1.0
128.51,128.0603,130.43,129.18,-0.0078,JPM,0.66,82618,2,3.1
126.11,125.82,127.1812,126.28,0.3421,EA,0.4105,20701,0,-29.17
104.635,104.34,106.75,106.58,-0.6787,GOOGL,0.5099,160345,1,-0.31
97.83,97.705,100.51,100.4,-2.0917,AMZN,0.7773,588245,2,-2.17
92.25,91.74,94.995,94.97,-1.893,AMD,0.8136,456743,1,5.29
89.38,89.29,90.4,90.0,0.5286,SONY,0.4882,2089,0,0.0
32.04,31.96,32.89,32.77,-0.9583,INTC,0.5877,131236,-1,-2.33
9.24,8.79,10.32,9.79,-5.3279,CVNA,0.5844,23330,-1,7.63
5.825,5.67,6.05,6.06,-2.4288,SOFI,0.9555,91922,2,1.26
5.34,5.34,5.74,5.62,-1.6575,AMC,0.827,413221,6,1.07
