open,relvolume,high,percentchange,price,low,symbol,watchers,hourchange,sentiment
191.65,0.6231,192.36,-0.9416,190.41,187.15,TSLA,889285,11,-1.16
104.99,0.6651,105.49,-0.1515,105.44,103.84,GOOGL,159720,0,-3.52
88.3,1.3895,88.3,-0.8383,87.53,86.96,SONY,2082,0,0.0
125.63,1.496,125.68,-1.5216,124.91,123.11,JPM,82371,0,0.29
270.31,0.8619,271.67,-1.5152,267.79,263.55,NVDA,420202,6,-1.07
202.35,0.8771,203.55,-4.2363,195.99,192.46,ENPH,37275,0,4.49
445.08,0.7919,456.2,2.4323,455.25,443.105,NOC,8012,0,-10.23
277.24,0.7429,280.63,1.048,280.57,275.3,MSFT,442258,6,0.18
123.36,0.6283,125.4,1.5563,125.29,122.88,IBM,51327,0,-2.11
158.86,0.6983,160.34,0.8306,160.25,157.85,AAPL,876403,3,-1.12
8.18,0.2716,8.47,-1.9162,8.19,7.95,CVNA,23417,0,-0.49
99.18,1.0179,99.52,-2.3235,97.95,96.74,AMD,456184,3,-2.45
4.4,0.283,4.54,0.0,4.47,4.38,AMC,411928,0,0.06
118.08,0.8715,119.205,2.5767,119.03,117.61,EA,20720,0,0.0
5.675,0.4643,5.83,-0.692,5.74,5.645,SOFI,91707,3,-0.31
29.04,1.0801,29.81,1.1368,29.36,28.93,INTC,130867,-2,-2.08
205.18,0.7884,207.574,0.8469,206.01,203.55,META,512051,3,2.95
98.065,0.6949,98.295,-0.5876,98.13,96.4,AMZN,587053,5,-1.0
