high,percentchange,low,open,symbol,relvolume,price,watchers,hourchange,sentiment
5.93,-0.5217,5.62,5.87,SOFI,0.6344,5.72,91769,0,-1.14
32.58,1.8084,31.81,31.85,INTC,1.4198,32.09,131054,0,4.5
99.53,1.8628,97.25,98.0,AMD,0.8812,97.88,456364,1,-3.07
103.04,1.7456,101.01,101.55,AMZN,0.6777,102.0,587425,0,3.58
462.92,-0.1278,458.5,460.46,NOC,0.3938,460.98,8023,0,0.0
131.48,-0.3778,129.1,130.16,IBM,0.5487,129.22,51343,0,8.38
197.328,0.7221,194.42,195.58,TSLA,0.6092,195.28,889751,7,4.19
120.05,-0.0755,118.85,120.0,EA,0.5217,119.1,20710,0,5.56
9.0,12.1982,8.0748,8.08,CVNA,0.5721,8.83,23362,-4,-5.02
89.53,1.6388,88.555,88.7,SONY,1.4544,89.31,2082,0,0.0
274.99,1.4787,271.02,272.29,NVDA,0.6652,273.83,420570,-1,2.26
5.16,-0.6,4.865,5.11,AMC,0.5325,4.97,412470,-4,0.78
284.46,1.262,281.5,284.23,MSFT,0.6427,284.05,442600,1,-0.15
162.47,0.989,161.271,161.53,AAPL,0.5827,162.36,876771,4,3.65
208.09,1.2126,202.85,203.38,META,0.6432,207.84,512301,3,6.06
214.19,0.6472,203.96,209.435,ENPH,0.6629,205.27,37321,1,-2.13
130.12,-0.302,127.65,129.95,JPM,0.7826,128.75,82474,0,1.08
101.155,-0.4931,99.78,100.91,GOOGL,0.6807,100.89,159890,2,2.97
