percentchange,open,low,high,symbol,relvolume,price,watchers,hourchange,sentiment
-1.0221,96.3,92.9,96.94,AMD,1.5349,96.84,455936,1,-0.73
-7.6471,7.43,6.87,7.81,CVNA,0.3366,7.065,23279,-3,-1.47
-1.3239,98.41,95.7,98.48,AMZN,0.7742,97.64,586756,4,0.75
0.9856,126.99,126.01,129.46,JPM,1.609,127.05,82205,5,0.49
1.2703,445.27,445.36,452.2,NOC,0.4475,449.235,8002,0,9.09
-0.3936,100.12,99.88,101.75,GOOGL,0.7301,101.22,159575,4,-0.31
2.3923,4.25,4.14,4.38,AMC,0.4546,4.28,411739,1,-0.62
1.6433,178.08,176.35,186.44,TSLA,0.6925,183.09,888857,4,-0.43
2.196,87.52,87.33,89.16,SONY,1.1668,88.42,2079,0,0.0
1.5677,155.07,154.15,157.81,AAPL,0.8489,157.43,876013,5,-0.7
4.8573,189.59,185.2,196.88,ENPH,1.1646,192.56,37203,-4,0.93
-2.1972,29.8,28.63,29.9,INTC,0.7742,29.155,130823,1,0.19
1.8514,124.31,124.19,126.1508,IBM,0.7973,125.98,51324,0,-0.86
-4.304,5.47,5.19,5.54,SOFI,0.8466,5.225,91583,-1,1.29
0.0706,113.01,113.01,114.28,EA,0.5323,113.43,20730,0,0.0
0.6025,256.15,251.3,260.24,NVDA,0.819,258.8,419417,4,1.07
-2.6769,276.98,269.85,277.48,MSFT,1.2161,271.95,441930,4,-0.03
1.1196,198.48,193.64,199.36,META,0.723,197.8,511735,0,0.54
