relvolume,high,price,percentchange,open,low,symbol,watchers,hourchange,sentiment
0.9568,269.98,268.81,-2.0836,268.29,263.95,NVDA,421060,3,-3.56
0.5446,215.19,211.48,-1.5089,214.15,209.95,META,512552,7,-4.45
0.609,128.15,127.61,0.1491,126.8,126.46,JPM,82525,0,-0.04
0.5843,287.145,284.34,-0.9889,285.85,282.95,MSFT,442949,4,-4.17
0.7224,4.09,4.05,3.5806,4.07,3.94,AMC,412892,5,-0.71
0.7518,190.68,185.52,-3.666,190.515,183.76,TSLA,890624,7,-1.42
0.4187,132.61,132.14,0.4103,131.37,131.37,IBM,51366,0,0.0
0.7198,90.02,89.65,-1.4943,89.9,89.5312,SONY,2087,0,0.0
0.6109,106.1,104.47,-0.2387,105.78,103.66,GOOGL,160105,2,-0.01
0.786,5.87,5.74,-2.5467,5.87,5.5801,SOFI,91874,2,0.48
0.7132,32.985,32.83,-0.8157,32.795,32.335,INTC,131189,-1,-1.85
0.8384,201.62,193.67,-4.3794,200.0,187.73,ENPH,37381,0,0.52
0.5813,103.91,101.1,-2.7417,103.91,100.7506,AMZN,587878,6,-0.79
0.7325,126.27,126.15,0.7266,125.24,124.85,EA,20706,0,10.71
0.6702,165.05,163.76,-1.129,164.74,161.8,AAPL,877257,0,-9.17
0.7872,94.5,92.56,-3.4526,94.35,91.36,AMD,456578,-1,-1.57
0.3189,9.38,8.5,-10.5263,9.38,8.39,CVNA,23329,-2,-1.66
0.5536,473.6,470.91,0.6003,467.22,467.22,NOC,8036,0,0.0
