open,percentchange,relvolume,price,high,symbol,low,watchers,hourchange,sentiment
98.69,3.0954,0.6207,100.25,100.4218,AMZN,98.5801,587352,2,1.22
203.56,2.3271,0.5083,205.35,205.72,META,202.54,512243,1,0.12
130.1,0.2017,0.9598,129.14,130.22,JPM,127.77,82460,1,-0.93
5.69,2.8623,0.7071,5.75,5.9199,SOFI,5.65,91762,2,-1.08
102.28,0.3563,0.6183,101.39,102.43,GOOGL,100.655,159836,0,4.31
5.14,-2.9126,0.765,5.0,5.2084,AMC,4.83,412480,-5,-0.59
196.75,5.3896,0.7832,203.95,205.77,ENPH,191.385,37308,1,-0.62
268.25,2.1734,0.7093,269.84,270.77,NVDA,265.97,420470,0,-1.37
86.93,2.3887,1.1442,87.87,88.02,SONY,86.74,2084,0,0.0
96.07,1.618,0.8339,96.09,96.91,AMD,94.87,456332,0,-0.21
29.77,7.6135,1.6683,31.52,31.89,INTC,29.789,130911,8,7.05
193.13,2.479,0.674,193.88,195.28,TSLA,189.44,889638,9,0.48
7.47,6.9293,0.2295,7.87,7.9,CVNA,7.37,23365,1,-7.63
118.08,0.9914,0.4098,119.19,119.325,EA,118.08,20708,-1,0.0
278.96,1.9184,0.5914,280.51,281.1398,MSFT,278.41,442530,0,-1.71
130.12,0.2861,0.4977,129.71,130.348,IBM,129.18,51343,-1,0.76
159.37,1.9791,0.6109,160.77,161.04,AAPL,159.35,876718,11,-0.3
459.38,0.5599,0.4154,461.57,462.58,NOC,457.495,8021,0,25.0
