low,percentchange,price,high,symbol,relvolume,open,watchers,hourchange,sentiment
204.67,-0.3767,208.9,214.57,ENPH,0.6939,209.77,37428,0,-2.73
127.45,-0.3196,127.87,128.53,EA,0.4028,127.98,20705,0,0.0
90.412,0.4089,90.86,91.46,SONY,0.8867,90.85,2088,0,0.0
182.01,-0.4841,185.0,186.28,TSLA,0.5598,183.95,891430,-1,0.42
31.69,-0.747,31.89,32.235,INTC,0.4201,32.0,131242,0,-0.9
4.9,-6.2271,5.12,5.75,AMC,0.9005,5.74,413215,0,-0.75
5.77,1.0239,5.92,6.03,SOFI,0.6398,5.99,91909,6,-1.13
468.765,-0.3353,472.57,473.09,NOC,0.3372,470.55,8040,0,0.0
262.2,1.1148,267.58,268.83,NVDA,0.7461,265.04,421598,0,-0.66
283.69,-1.2766,286.14,288.48,MSFT,0.5743,287.0,443406,0,-0.03
8.68,-4.2689,8.97,9.798,CVNA,0.3345,9.47,23324,0,-2.38
90.5,-0.3692,91.75,92.97,AMD,0.5911,91.82,456777,4,0.42
101.11,0.1074,102.51,103.2013,AMZN,0.7199,102.07,588482,0,1.69
217.56,0.5174,221.49,222.11,META,0.6378,217.88,512857,0,1.09
127.31,0.1876,128.14,129.84,IBM,0.6373,128.46,51371,1,-6.18
106.88,1.3404,108.87,108.935,GOOGL,0.566,106.89,160402,-1,0.94
163.83,-0.2114,165.21,166.32,AAPL,0.6406,164.59,877861,0,1.52
134.9001,7.551,138.73,139.12,JPM,3.0765,135.15,82946,0,5.63
