open,low,relvolume,price,high,symbol,percentchange,watchers,hourchange,sentiment
5.11,4.865,0.5325,4.97,5.16,AMC,-0.6,412471,1,0.75
161.53,161.271,0.5827,162.36,162.47,AAPL,0.989,876773,2,4.34
284.23,281.5,0.6427,284.05,284.46,MSFT,1.262,442605,5,-0.15
203.38,202.85,0.6432,207.84,208.09,META,1.2126,512306,5,6.08
209.435,203.96,0.6629,205.27,214.19,ENPH,0.6472,37320,-1,-2.39
129.95,127.65,0.7826,128.75,130.12,JPM,-0.302,82477,3,1.21
100.91,99.78,0.6807,100.89,101.155,GOOGL,-0.4931,159894,4,2.76
5.87,5.62,0.6344,5.72,5.93,SOFI,-0.5217,91770,1,-1.7
31.85,31.81,1.4198,32.09,32.58,INTC,1.8084,131059,5,4.5
101.55,101.01,0.6777,102.0,103.04,AMZN,1.7456,587428,3,3.47
98.0,97.25,0.8812,97.88,99.53,AMD,1.8628,456364,0,-2.74
460.46,458.5,0.3938,460.98,462.92,NOC,-0.1278,8023,0,0.0
130.16,129.1,0.5487,129.22,131.48,IBM,-0.3778,51343,0,8.38
120.0,118.85,0.5217,119.1,120.05,EA,-0.0755,20710,0,5.56
8.08,8.0748,0.5721,8.83,9.0,CVNA,12.1982,23362,0,-4.62
195.58,194.42,0.6092,195.28,197.328,TSLA,0.7221,889755,4,4.2
272.29,271.02,0.6652,273.83,274.99,NVDA,1.4787,420573,3,2.26
88.7,88.555,1.4544,89.31,89.53,SONY,1.6388,2082,0,0.0
