relvolume,percentchange,symbol,open,high,low,price,watchers,hourchange,sentiment
1.6683,7.6135,INTC,29.77,31.89,29.789,31.52,130911,8,7.05
0.674,2.479,TSLA,193.13,195.28,189.44,193.88,889638,9,0.48
0.2295,6.9293,CVNA,7.47,7.9,7.3616,7.87,23365,1,-7.63
0.4098,0.9914,EA,118.08,119.325,118.08,119.19,20708,-1,0.0
0.4977,0.2861,IBM,130.12,130.35,129.18,129.71,51343,-1,0.76
0.6109,1.9791,AAPL,159.37,161.04,159.35,160.77,876718,11,-0.3
0.5914,1.9184,MSFT,278.96,281.1398,278.41,280.51,442530,0,-1.71
0.5083,2.3271,META,203.56,205.72,202.54,205.35,512243,1,0.12
0.7071,2.8623,SOFI,5.69,5.9199,5.65,5.75,91762,2,-1.08
0.4154,0.5599,NOC,459.38,462.58,457.495,461.57,8021,0,25.0
0.6207,3.0954,AMZN,98.69,100.4218,98.5801,100.25,587352,2,1.22
0.6183,0.3563,GOOGL,102.28,102.43,100.655,101.39,159836,0,4.31
0.7832,5.3896,ENPH,196.75,205.77,191.385,203.95,37308,1,-0.62
0.9598,0.2017,JPM,130.1,130.22,127.77,129.14,82460,1,-0.93
0.7093,2.1734,NVDA,268.25,270.77,265.97,269.84,420470,0,-1.37
0.765,-2.9126,AMC,5.14,5.2084,4.83,5.0,412480,-5,-0.59
1.1442,2.3887,SONY,86.93,88.02,86.74,87.87,2084,0,0.0
0.8339,1.618,AMD,96.07,96.91,94.87,96.09,456332,0,-0.21
