high,relvolume,symbol,low,price,percentchange,open,watchers,hourchange,sentiment
96.94,1.5349,AMD,92.9,96.81,-1.0527,96.3,455937,0,-0.82
277.48,1.2161,MSFT,269.85,272.23,-2.5767,276.98,441940,0,0.19
129.47,1.609,JPM,126.01,127.14,1.0571,126.99,82212,1,0.88
98.48,0.7742,AMZN,95.7,97.71,-1.2532,98.41,586757,0,0.92
4.38,0.4546,AMC,4.14,4.27,2.1531,4.25,411726,1,-0.43
452.31,0.4475,NOC,445.005,449.26,1.2759,445.27,8003,0,8.33
186.44,0.6925,TSLA,176.35,183.25,1.7321,178.08,888856,-1,-0.19
101.75,0.7301,GOOGL,99.88,101.22,-0.3936,100.12,159581,-1,-0.64
89.16,1.1668,SONY,87.33,88.42,2.196,87.52,2079,0,0.0
157.81,0.8489,AAPL,154.15,157.4,1.5484,155.07,876026,1,-0.1
196.88,1.1646,ENPH,185.2,192.51,4.8301,189.59,37212,3,1.32
29.9,0.7742,INTC,28.63,29.16,-2.1805,29.8,130821,0,-0.99
260.24,0.819,NVDA,251.3,259.0,0.6803,256.15,419428,0,0.83
126.1508,0.7973,IBM,124.19,125.94,1.8191,124.31,51327,0,1.06
5.54,0.8466,SOFI,5.19,5.22,-4.3956,5.47,91588,10,1.1
199.36,0.723,META,193.64,197.81,1.1247,198.48,511732,-1,1.13
114.28,0.5323,EA,113.01,113.52,0.15,113.01,20730,0,33.33
7.82,0.3366,CVNA,6.87,7.07,-7.5817,7.43,23276,-3,-1.45
