high,symbol,relvolume,percentchange,open,low,price,watchers,hourchange,sentiment
483.31,NOC,0.4343,1.3069,475.74,475.77,480.995,8041,0,-17.86
291.6,MSFT,0.4127,-0.1766,291.57,287.02,288.29,443604,5,4.12
281.0802,NVDA,0.9761,2.1612,275.335,275.02,275.8556,421835,26,-0.18
231.31,ENPH,0.6577,0.558,225.43,222.23,226.175,37486,0,-0.4
220.44,META,0.2784,-0.281,219.91,216.215,218.245,512936,2,-0.81
187.69,TSLA,0.4455,-1.0738,187.15,183.5887,185.0315,891764,23,-0.76
167.41,AAPL,0.4934,0.8594,166.1,165.65,166.65,878076,3,3.3
141.725,JPM,0.6134,1.2694,140.27,139.03,141.605,82988,3,0.28
129.38,EA,0.294,0.73,128.81,127.82,129.015,20706,0,0.0
128.68,IBM,0.2997,0.1642,128.14,127.35,128.0299,51379,1,-1.59
106.515,GOOGL,0.4462,-1.189,106.49,104.4,104.71,160551,3,-0.88
104.2,AMZN,0.4025,-0.6278,103.95,101.77,102.095,588639,-1,1.99
91.86,SONY,0.5193,0.0384,91.57,90.995,91.185,2086,0,0.0
92.16,AMD,0.5792,0.0501,91.61,89.63,89.915,456867,6,0.88
32.46,INTC,0.303,-0.4823,32.43,31.8,31.985,131275,3,0.32
9.285,CVNA,0.2075,-1.7108,9.22,8.76,8.905,23305,-3,-4.05
6.02,SOFI,0.343,0.0839,6.0,5.895,5.965,91916,-1,-0.55
5.212,AMC,0.2708,-2.4038,5.23,4.98,5.075,413185,0,-2.03
